year,mileage,rough_scale,torque_scale,stop_scale,cv_wellness,wb_wellness,brk_wellness
2002,93803,0.19,0.4,0.05,63.33,78.1,64.99
2003,156866,0.81,0.96,0.34,39.54,44.98,34.75
2016,172220,0.43,0.29,0.44,51.65,47.45,29.18
2012,97442,0.88,0.2,0.62,67.2,75.11,43.37
2022,214809,0.93,0.3,0.12,35.83,24.53,16.78
2018,127044,0.97,0.27,0.1,59.66,55.41,43.14
2012,38555,0.11,0.81,0.04,65.73,94.47,83.29
2004,241738,0.76,0.66,0.58,25.79,28.51,5.0
2023,165719,0.53,0.64,0.29,45.18,51.34,20.23
2019,62746,0.48,0.72,0.64,68.99,70.31,62.98
2009,237939,0.75,0.94,0.1,18.85,33.31,5.33
2013,30510,0.8,0.42,0.22,82.62,80.83,82.72
2012,40301,0.41,0.92,0.65,76.63,77.46,76.54
2010,178598,0.02,0.73,0.76,36.52,54.44,9.77
2008,198003,0.99,0.24,0.57,50.46,38.97,9.37
2010,49368,0.83,0.38,0.81,73.4,69.45,66.78
2009,152588,0.13,0.15,0.23,54.91,57.7,33.06
2005,114732,0.11,0.76,0.63,50.62,67.53,42.37
2001,22187,0.46,0.81,0.59,88.54,80.56,75.96
2022,12752,0.34,0.25,0.15,92.67,96.32,92.9
2007,156298,0.79,0.37,0.72,47.9,47.54,33.39
2024,166762,0.18,0.89,0.25,41.8,58.08,38.72
2005,130983,0.6,0.19,0.99,65.26,56.98,34.24
2024,229656,0.19,0.5,0.1,31.48,46.48,5.0
2023,246316,0.07,0.43,0.17,25.35,41.94,5.0
2014,190059,0.93,0.74,0.63,36.67,28.53,14.06
2011,73554,0.07,0.95,0.21,59.37,81.34,67.51
2009,42169,0.37,0.48,0.57,90.2,88.39,77.7
2022,207474,0.64,0.76,0.17,28.93,42.06,12.45
2021,17776,0.8,0.8,0.27,82.14,84.62,86.53
2007,126197,0.66,0.89,0.37,55.4,50.09,35.72
2012,148940,0.1,0.97,0.99,31.15,59.05,22.14
2021,187704,0.01,0.44,0.32,30.93,51.23,21.51
2015,53614,0.11,0.36,0.88,85.62,88.16,54.93
2014,211027,0.21,0.23,0.15,37.84,41.9,10.76
2016,184292,0.97,0.78,0.59,31.51,33.0,16.55
2010,184360,0.92,0.78,0.53,38.74,41.67,12.69
2021,207838,0.54,0.56,0.96,31.32,41.45,5.0
2024,96831,0.77,0.93,0.86,61.8,63.15,46.12
2017,133988,0.85,0.41,0.17,45.19,53.31,45.31
2006,236339,0.48,0.75,0.11,20.95,29.52,5.16
2000,124078,0.55,0.95,0.11,51.64,53.95,49.58
2010,217726,0.07,0.42,0.48,30.03,33.89,5.0
2017,101000,0.92,0.38,0.54,61.19,59.74,46.43
2018,52270,0.98,0.93,0.76,73.86,74.43,66.79
2001,162565,0.28,0.11,0.34,50.12,51.68,26.67
2005,104159,0.83,0.02,0.61,61.73,55.47,42.65
2001,12134,0.82,0.8,0.74,90.54,83.14,83.16
2002,197905,0.76,0.4,0.14,39.36,40.55,22.06
2024,144413,0.75,0.38,0.59,50.51,49.38,32.69
2011,111767,0.89,0.44,0.52,54.87,56.66,50.02
2008,86278,0.53,0.15,0.65,69.56,60.39,55.91
2001,217425,0.13,0.38,0.92,22.52,41.61,5.0
2021,46952,0.27,0.27,0.62,89.84,85.44,70.24
2006,168627,0.16,0.73,0.04,33.76,48.89,25.37
2006,141021,0.49,0.13,0.25,59.11,60.45,32.96
2008,84557,0.64,0.63,0.87,67.18,76.58,56.61
2014,242598,0.38,0.82,0.71,11.95,29.71,5.0
2009,62404,0.32,0.1,0.18,83.4,87.65,69.96
2000,147152,0.76,0.01,0.68,60.5,61.47,28.99
2017,35903,0.39,0.13,0.4,87.88,86.25,79.5
2012,225087,0.17,0.57,0.17,37.93,36.11,5.0
2016,131772,0.55,0.55,0.52,49.44,54.93,41.55
2004,98173,0.56,0.52,0.93,63.77,72.5,40.77
2020,160649,0.71,0.12,0.91,52.09,54.21,20.06
2012,51741,0.95,0.97,0.49,72.41,80.38,72.97
2014,200484,0.09,0.27,0.96,35.18,48.76,9.38
2019,218291,0.72,0.47,0.17,34.13,37.47,5.0
2010,81537,0.55,0.39,0.95,67.39,74.93,47.36
2023,19893,0.38,0.65,0.74,87.7,86.78,74.65
2006,43724,0.14,0.7,0.92,79.54,85.41,66.75
2006,195205,0.01,0.15,0.69,38.57,53.91,8.48
2009,41979,0.11,0.12,0.42,88.32,87.06,62.68
2008,50573,0.8,0.44,0.87,81.94,79.14,56.02
2020,109637,0.4,0.75,0.32,61.68,70.92,50.86
2017,72040,0.18,0.03,0.27,86.76,82.93,72.44
2022,195160,0.12,0.64,0.77,28.95,54.31,5.0
2015,37509,0.85,0.34,1.0,82.22,75.95,70.3
2015,61821,0.17,0.7,0.66,67.91,82.04,65.08
2008,230831,0.77,0.35,0.02,26.39,34.08,5.0
2019,205418,0.79,0.46,0.29,28.24,40.14,14.03
2013,147350,0.09,0.56,0.96,52.39,70.8,26.52
2006,18868,0.9,0.34,0.62,89.41,83.77,84.48
2012,226001,0.26,0.21,0.43,34.88,37.92,5.0
2013,232674,0.71,0.8,0.85,29.8,22.32,5.0
2017,135557,0.47,0.59,0.87,54.94,62.71,27.08
2002,231385,0.68,0.84,0.37,22.79,39.32,5.0
2022,122666,0.19,0.96,0.54,53.71,74.68,44.16
2006,124605,0.21,0.42,0.96,57.89,69.56,27.44
2014,127482,0.5,0.53,0.71,54.09,65.08,40.99
2018,47428,0.65,0.52,0.56,86.45,84.38,73.64
2020,116033,0.59,0.18,0.58,65.33,68.88,34.25
2019,103627,0.41,0.55,0.31,62.18,65.68,49.84
2003,195908,0.22,0.58,0.38,37.37,51.58,15.12
2003,190741,0.62,0.26,0.28,39.9,46.27,16.03
2019,84644,0.74,0.45,0.8,68.43,72.76,51.29
2004,77947,0.6,0.02,0.2,82.04,72.72,67.23
2013,152072,0.19,0.9,0.67,36.96,62.88,22.48
2022,246824,0.26,0.2,0.44,31.09,30.7,5.0
2014,8408,0.23,0.83,0.43,88.37,96.67,89.77
2003,11242,0.46,0.78,0.37,91.77,94.06,85.69
2007,215769,0.43,0.68,0.69,28.55,40.51,5.0
2018,22470,0.59,0.25,0.63,90.88,91.56,75.95
2002,114247,0.66,0.35,0.26,67.44,60.13,51.7
2013,209180,0.51,0.01,0.24,39.44,33.99,21.34
2011,20270,0.03,0.9,0.63,82.26,93.64,76.62
2001,104118,0.58,0.08,0.1,64.6,67.56,51.5
2010,179108,0.42,0.78,0.88,37.13,54.71,18.2
2022,218098,0.75,0.39,0.51,30.54,26.98,5.0
2014,149453,0.41,0.18,0.03,56.65,55.01,47.44
2007,35804,1.0,0.97,0.15,78.81,83.55,83.7
2006,6704,0.6,0.52,0.63,85.89,89.13,82.46
2018,67267,0.78,0.46,0.98,77.41,80.17,53.49
2018,238418,0.23,0.31,0.81,34.83,31.91,5.0
2018,8615,0.65,0.98,0.82,78.29,86.44,78.87
2022,115822,0.69,0.37,0.48,57.2,55.63,42.8
2011,56532,0.92,0.59,0.5,85.71,69.88,60.64
2000,126637,0.4,0.22,0.48,57.89,56.56,44.59
2006,204124,0.07,0.83,0.49,34.23,40.9,9.1
2006,209021,0.84,0.69,0.24,22.44,28.28,5.0
2015,83445,0.35,0.97,0.59,64.32,82.34,56.28
2011,175640,0.98,0.83,0.82,26.66,47.89,9.12
2001,247639,0.44,0.93,0.73,10.04,34.93,5.0
2001,94042,0.84,0.78,0.13,55.08,57.86,68.61
2018,17772,0.21,0.43,0.6,89.7,86.03,86.89
2013,30503,0.58,0.7,0.32,81.32,77.65,77.05
2011,220570,0.18,0.22,0.0,37.71,42.95,15.63
2021,99120,0.16,0.61,0.53,73.84,67.01,43.78
2016,158799,0.14,0.73,0.53,46.99,56.81,32.91
2007,243188,0.25,0.08,0.19,31.75,35.26,5.0
2014,156179,0.36,0.68,0.58,41.55,59.08,21.33
2021,217514,0.1,0.04,0.65,43.56,42.04,7.02
2014,58206,0.18,0.93,0.9,66.8,78.33,55.15
2019,206028,0.84,0.52,0.66,35.15,26.77,7.43
2014,128130,0.11,0.31,0.11,61.62,53.8,47.08
2000,4593,0.77,0.78,0.22,85.09,90.1,98.4
2009,81500,1.0,0.18,0.91,60.63,69.9,46.87
2005,40428,0.31,0.68,0.04,75.06,79.65,73.79
2007,236800,0.58,0.2,0.4,23.5,37.91,5.0
2018,128322,0.21,0.9,0.69,61.52,63.72,47.0
2001,196472,0.91,0.94,0.13,38.92,43.41,15.41
2001,131972,0.55,0.07,0.55,56.72,63.12,37.44
2005,70043,0.38,0.7,0.22,78.28,76.88,69.7
2013,99253,0.06,0.17,0.09,67.92,81.95,61.48
2024,56369,0.89,0.1,0.35,86.96,75.97,65.38
2024,95701,0.23,0.57,0.79,59.65,70.58,48.51
2017,217730,0.25,0.1,0.48,40.02,32.8,5.0
2024,149499,0.09,0.14,0.88,55.91,66.35,18.58
2008,85447,0.75,0.53,0.07,69.6,61.71,67.44
2004,79613,0.51,0.96,0.73,66.71,69.03,61.94
2022,97007,0.59,0.0,0.99,82.12,68.31,45.09
2018,57377,0.47,0.66,0.35,78.47,81.66,71.82
2007,184812,0.84,0.43,0.98,40.83,42.97,5.0
2021,233161,0.0,0.49,0.89,23.69,44.47,5.0
2003,117808,0.71,0.6,0.35,57.81,64.95,47.67
2002,108983,0.02,0.04,0.07,71.36,71.0,53.63
2020,198994,0.14,0.5,0.62,37.36,49.89,10.68
2014,134931,0.74,0.05,0.69,68.59,41.83,29.88
2023,174509,0.52,0.91,0.06,38.22,43.53,31.19
2002,150777,0.51,0.61,0.07,49.5,51.03,35.38
2023,209772,0.85,0.22,0.16,37.26,36.4,12.75
2001,193584,0.22,0.62,0.31,31.81,51.14,10.79
2010,120319,0.44,0.8,0.7,50.81,67.14,37.97
2007,110667,0.63,0.1,0.24,57.66,64.1,50.72
2007,77849,0.3,0.23,0.74,68.55,69.33,46.21
2023,176964,0.62,0.93,0.5,30.72,45.52,17.47
2016,122458,0.07,0.15,0.44,66.79,65.42,44.98
2017,6486,0.65,0.97,0.06,84.16,84.45,98.48
2021,156480,0.03,0.05,0.63,50.6,61.05,22.34
2011,147392,0.38,0.31,0.08,57.24,57.2,37.29
2009,164895,0.55,0.4,0.79,43.09,46.95,16.12
2011,198104,0.86,0.97,0.24,31.24,32.68,13.24
2010,59074,0.82,0.17,0.42,75.88,65.94,69.63
2010,223443,0.66,0.15,0.23,38.38,27.33,10.77
2003,234408,0.48,0.96,0.85,10.64,39.94,5.0
2003,204131,0.77,0.69,0.76,28.85,42.64,5.0
2015,153004,0.86,0.21,0.45,44.51,47.86,30.88
2006,161658,0.51,0.79,0.53,37.53,49.48,26.88
2016,87410,0.98,0.21,0.46,73.33,73.94,57.16
2007,54251,0.58,0.76,0.26,71.17,74.81,72.22
2018,70487,0.65,0.74,0.17,67.71,77.93,64.38
2013,120649,0.05,0.41,0.94,55.66,69.58,30.05
2013,87422,0.81,0.84,0.32,66.11,67.04,62.79
2018,249679,0.17,0.43,0.15,26.78,37.97,5.0
2016,205822,0.84,0.74,0.74,27.87,34.08,5.0
2004,159726,0.57,0.05,0.21,55.32,56.83,22.72
2021,142901,0.78,0.87,0.35,57.08,47.5,34.48
2020,14400,0.16,0.75,0.71,81.91,94.8,80.32
2009,247578,0.59,0.72,0.43,15.33,21.58,5.0
2001,85207,0.45,0.49,0.13,64.1,67.46,62.24
2006,152137,0.33,0.74,0.63,44.87,61.59,32.96
2005,233262,0.25,0.6,0.88,24.26,37.2,5.0
2006,20284,0.2,0.21,0.99,89.06,90.06,73.09
2015,148001,0.22,0.33,0.84,47.28,57.18,32.13
2009,58776,0.19,0.09,0.31,87.81,82.66,71.41
2024,228319,0.82,0.55,0.93,22.54,27.3,5.0
2007,63984,0.97,0.06,0.56,77.42,60.03,64.28
2009,222758,0.7,0.94,0.63,21.38,24.48,5.0
2021,132590,0.96,0.72,0.71,43.73,52.66,33.01
2004,197941,0.03,0.06,0.85,44.79,52.21,7.19
2010,235273,0.87,0.53,0.47,32.03,28.2,5.0
2017,140273,0.47,0.31,0.95,64.76,55.43,24.25
2002,229654,0.79,0.86,0.55,16.9,31.54,5.0
2010,77708,0.95,0.11,0.37,84.19,74.47,70.88
2014,236823,0.77,0.23,0.79,23.03,23.4,5.0
2010,207748,0.21,0.5,0.36,30.17,49.48,13.51
2019,106870,0.91,0.22,0.0,64.62,61.87,52.88
2019,222364,0.59,0.14,0.59,30.9,33.2,5.0
2002,91187,0.46,0.85,0.82,75.72,63.71,49.59
2004,11953,0.9,0.9,0.04,75.42,82.07,97.67
2011,48706,0.26,0.2,0.27,80.46,79.41,77.81
2001,190353,0.76,0.98,0.4,23.5,37.12,26.36
2023,186748,0.54,0.24,0.17,43.13,53.11,23.51
2003,5753,0.72,0.0,0.3,99.06,86.48,97.55
2016,72107,0.83,0.38,0.95,69.6,65.52,51.87
2012,124326,0.44,0.04,0.82,60.31,61.53,36.88
2007,245779,1.0,0.13,0.72,30.67,16.04,5.0
2017,1335,0.56,0.01,0.71,86.81,88.22,91.74
2003,71724,0.7,0.04,0.88,73.21,74.99,58.87
2000,57901,0.11,0.28,0.03,81.45,82.16,77.23
2014,14073,0.63,0.57,0.97,95.55,96.6,73.63
2024,104304,0.29,0.98,0.75,64.25,75.06,40.25
2003,116678,0.74,0.72,0.99,53.79,57.75,34.17
2011,135434,0.67,0.05,0.17,54.64,54.53,51.02
2014,71438,0.13,0.08,0.07,69.92,76.7,65.8
2001,248301,0.99,0.63,0.31,20.07,22.65,5.0
2018,170004,0.85,0.12,0.53,43.64,41.71,17.71
2016,121765,0.67,0.75,0.6,50.48,58.59,32.35
2024,145612,0.48,0.67,0.14,46.18,52.52,37.72
2004,211619,0.89,0.69,0.81,32.23,34.71,5.0
2017,73912,0.74,0.53,0.45,81.13,80.02,60.87
2012,200429,0.21,0.32,0.4,37.48,46.4,15.83
2002,66553,0.58,0.16,0.13,80.23,89.34,72.47
2021,228914,0.74,0.76,0.31,12.74,24.22,5.0
2024,105546,0.19,0.08,0.94,71.83,71.96,40.62
2006,230803,0.94,0.33,0.44,29.91,28.25,5.0
2015,30927,0.44,0.19,0.97,100.0,83.45,65.33
2012,211655,0.61,0.77,0.6,31.32,30.08,5.0
2000,242856,0.34,0.95,0.95,15.3,32.39,5.0
2007,26390,0.64,0.27,0.68,88.16,86.61,72.79
2006,226065,0.8,0.9,0.97,24.12,40.94,5.0
2018,189397,0.34,0.39,0.25,44.08,50.46,22.52
2010,126435,0.29,0.19,0.98,62.69,68.98,33.11
2023,203423,0.01,0.07,0.98,36.92,46.29,5.0
2024,239605,0.62,0.99,0.97,16.2,39.96,5.0
2015,153908,0.99,0.05,0.82,63.94,40.07,27.38
2009,225436,0.88,0.23,0.36,40.6,29.11,8.31
2014,92501,0.24,0.18,0.71,68.66,76.84,52.71
2006,164376,0.46,0.78,0.34,48.13,54.51,20.29
2014,45017,0.88,0.18,0.25,89.39,76.0,72.93
2019,114947,0.38,0.05,0.74,56.78,63.24,43.68
2007,145410,0.99,0.08,0.91,55.14,53.39,29.46
2014,231502,0.59,0.38,0.87,32.65,28.59,5.0
2001,89393,0.16,0.75,0.1,73.22,75.21,60.47
2013,244178,0.11,0.26,0.58,25.17,40.9,5.0
2015,135204,0.7,0.99,0.86,41.95,59.66,32.6
2022,72935,0.49,0.27,0.23,68.45,81.73,64.41
2000,91766,0.28,0.75,0.3,61.7,70.17,50.36
2007,214493,0.05,0.54,0.2,33.11,42.91,6.28
2010,142442,0.35,0.77,0.21,50.59,45.14,36.86
2023,217619,0.38,0.44,0.93,45.69,36.47,5.0
2023,102295,0.14,0.71,0.89,65.01,77.38,45.81
2008,110065,0.52,1.0,0.9,54.62,60.76,35.07
2024,186023,0.95,0.31,0.93,40.08,36.54,9.79
2002,29979,0.61,0.25,0.68,81.59,88.51,73.69
2022,49627,0.72,0.03,0.78,93.01,81.21,64.47
2001,108892,0.63,0.24,0.3,60.46,72.12,41.19
2016,93462,0.98,0.25,0.46,69.36,61.38,55.24
2018,26653,0.47,0.59,0.56,75.72,85.2,81.1
2020,159862,0.5,0.18,0.06,46.85,54.28,36.63
2010,155956,0.56,0.96,0.74,47.49,58.71,18.73
2014,84028,0.01,0.87,0.89,65.61,84.19,53.73
2010,191767,0.87,0.46,0.26,32.03,33.4,11.37
2021,173393,0.82,0.98,0.4,30.57,44.06,23.21
2015,109041,0.8,0.65,0.83,57.32,53.6,33.85
2009,22243,0.29,0.03,0.21,91.82,90.52,94.37
2006,227223,0.64,0.48,0.92,22.2,31.5,5.0
2007,180328,0.57,0.01,0.35,48.69,45.84,20.11
2014,161881,0.58,0.64,0.87,48.68,48.37,12.04
2024,125220,0.29,0.52,0.54,61.59,62.66,33.45
2019,244214,0.33,0.05,0.65,30.98,37.3,5.0
2013,192321,0.13,0.72,0.51,33.87,48.08,5.0
2023,6262,0.71,0.21,0.07,91.98,86.48,95.74
2017,113945,0.15,0.97,0.73,53.18,66.98,32.53
2022,3415,0.01,0.27,0.08,99.14,100.0,95.73
2017,46276,0.95,0.86,0.34,84.2,76.81,74.15
2018,218394,0.76,0.3,0.45,35.91,34.07,5.0
2023,116609,0.53,0.51,0.68,58.29,61.88,42.42
2015,132351,0.43,0.64,0.08,64.45,65.09,40.4
2023,157800,0.68,0.94,0.26,37.36,48.42,26.12
2011,97787,0.77,0.28,0.53,68.32,66.58,42.31
2008,204460,0.91,0.13,0.6,40.33,30.54,5.0
2003,168456,0.37,0.48,0.48,38.26,50.13,22.81
2013,183015,0.7,0.43,0.36,34.69,41.79,18.79
2018,25631,0.45,0.12,0.93,88.57,82.37,79.65
2002,150862,0.71,0.55,0.42,55.67,38.34,27.7
2022,73418,0.36,0.53,0.89,64.98,77.91,46.74
2009,224598,0.7,0.55,0.03,35.63,36.75,13.72
2009,219342,0.59,0.22,0.8,35.45,35.45,5.0
2018,154312,0.85,0.86,0.61,47.17,54.67,22.07
2014,211349,0.35,0.09,0.7,36.91,32.21,5.0
2021,83119,0.6,0.47,0.04,73.18,70.0,73.62
2001,153659,0.12,0.83,0.85,48.55,53.56,24.58
2010,208757,0.03,0.19,0.22,48.23,50.59,10.02
2024,140634,0.03,0.32,0.13,58.87,58.03,37.4
2011,72244,0.17,0.77,0.57,68.61,69.01,62.39
2006,36990,0.96,0.29,0.77,80.93,76.29,67.92
2012,101674,0.46,0.88,0.36,58.8,62.96,62.63
2016,101198,0.96,0.29,0.81,66.74,64.74,39.53
2022,35682,0.13,0.12,0.01,85.78,95.58,85.2
2024,21837,0.31,0.87,0.46,96.16,94.48,80.83
2006,82740,0.63,0.8,0.56,62.28,67.47,54.21
2005,225152,0.09,0.81,0.5,26.46,40.38,11.36
2008,12446,0.06,0.5,0.04,97.64,97.86,94.94
2001,89259,0.87,0.12,0.45,59.31,62.82,48.53
2019,107284,0.14,0.79,0.27,54.53,68.75,55.47
2010,177228,0.47,0.88,0.85,29.78,45.82,11.1
2017,199622,0.56,0.21,0.52,37.57,39.48,5.0
2012,208592,0.42,0.39,0.1,38.99,44.29,18.83
2019,25192,0.62,0.16,0.69,92.17,91.22,79.39
2019,219592,0.12,0.89,0.71,25.16,47.49,5.0
2017,230727,0.9,0.85,0.51,10.75,25.78,5.0
2003,4430,0.94,0.72,0.74,76.46,87.01,90.15
2017,214449,0.89,0.14,0.63,41.91,39.54,7.67
2018,202332,0.02,0.79,0.63,33.42,59.03,8.54
2018,233970,0.29,0.07,0.17,24.84,34.08,5.0
2018,21417,0.39,0.92,0.14,78.12,84.03,96.65
2021,33163,0.45,0.13,0.49,88.81,84.86,77.03
2010,178416,0.9,0.86,0.59,40.28,49.19,20.25
2015,194223,1.0,0.69,0.51,38.83,44.35,13.81
2001,197051,0.42,0.36,0.74,42.42,38.97,5.53
2023,76979,0.18,0.7,0.54,64.11,76.95,58.35
2017,89416,0.05,0.54,0.58,65.72,75.57,57.22
2016,70624,0.45,0.48,0.99,79.59,80.69,55.85
2000,76674,0.84,0.02,0.01,68.96,76.85,68.97
2022,187620,0.42,0.28,0.1,39.3,57.16,35.26
2003,112255,0.91,0.31,0.33,65.12,52.46,52.35
2014,201804,0.27,0.69,0.34,34.5,48.05,18.46
2004,106046,0.79,0.25,0.08,65.57,66.16,52.08
2014,207161,0.83,0.62,0.35,40.31,41.59,13.34
2013,119909,0.33,0.9,0.1,52.69,67.61,54.02
2011,188705,0.86,0.66,0.2,40.5,43.1,24.38
2019,38107,0.66,0.61,0.62,79.48,84.56,69.5
2013,66675,0.82,0.86,0.6,65.11,68.87,70.16
2002,91150,0.34,0.22,0.34,70.26,69.97,61.25
2009,103329,0.89,0.11,0.87,70.98,61.45,36.37
2012,46828,0.77,0.4,0.46,82.82,91.24,71.35
2024,84426,0.7,0.06,0.69,72.43,72.12,50.11
2019,227719,0.25,0.8,0.34,25.19,33.11,5.0
2021,26797,0.78,0.48,0.92,82.57,87.67,70.03
2022,143218,0.12,0.15,0.73,55.88,61.35,39.04
2002,178873,0.64,0.46,0.05,33.56,44.64,20.91
2002,101022,0.5,0.31,0.65,62.06,61.87,52.07
2015,249028,0.98,0.91,0.99,25.8,27.8,5.0
2009,52491,0.69,0.64,0.66,75.25,77.48,64.93
2004,161342,0.82,0.09,0.45,52.57,43.05,23.84
2015,143111,0.28,0.84,0.18,40.9,63.4,45.22
2024,128637,0.61,0.56,0.68,62.98,54.25,25.59
2004,4188,0.65,0.96,0.01,81.99,92.08,99.4
2024,192966,0.12,0.95,0.25,27.74,49.22,13.51
2001,76478,0.39,0.62,0.82,68.92,78.47,54.13
2006,245960,0.52,0.54,0.35,26.82,22.03,5.0
2012,143248,0.66,0.81,0.42,56.67,54.07,37.73
2013,243996,0.6,0.19,0.96,26.98,29.33,5.0
2018,43347,0.47,0.42,0.45,79.19,79.83,86.8
2010,207359,0.71,0.83,0.03,28.26,43.58,16.75
2002,37902,0.24,0.28,0.72,86.48,94.82,75.23
2024,138351,0.51,0.62,0.74,52.75,56.13,32.51
2004,174271,0.35,0.47,0.61,52.83,53.8,14.93
2015,128736,0.07,0.05,0.48,65.25,65.0,40.92
2014,152318,0.72,0.18,0.87,47.58,50.53,24.76
2000,152590,0.54,0.28,0.95,57.78,58.21,16.25
2013,227429,0.52,0.66,0.99,17.26,32.41,5.0
2005,241960,0.82,0.61,0.35,20.43,30.04,5.0
2013,207186,0.86,0.61,0.27,29.82,33.33,11.3
2004,214456,0.83,0.93,0.71,29.41,29.8,5.0
2001,55187,0.4,0.93,0.98,71.39,76.97,53.81
2011,239134,0.03,0.36,0.03,27.44,42.14,5.0
2006,197467,0.59,0.49,0.64,34.77,43.13,10.95
2022,212517,0.71,0.68,0.85,33.53,35.5,5.0
2024,170583,0.29,0.45,0.47,44.55,49.51,23.26
2011,30653,0.27,0.06,0.91,94.77,89.71,77.24
2021,219834,0.7,0.18,0.49,42.81,32.97,5.0
2000,69105,0.79,0.57,0.37,69.85,62.47,55.9
2003,186199,0.45,0.24,0.2,39.84,39.84,20.29
2005,126492,0.9,0.01,0.79,51.87,59.21,32.26
2009,88550,0.04,0.9,0.62,64.9,80.63,54.85
2002,179167,0.77,0.57,0.9,46.57,39.59,5.59
2003,181346,0.87,0.49,1.0,42.35,44.58,9.2
2006,78283,0.72,0.47,0.16,66.06,66.9,61.26
2020,71857,0.08,0.89,0.73,59.86,86.67,50.02
2007,168529,0.13,0.08,0.12,43.51,53.48,32.4
2024,127223,0.4,0.16,0.04,63.87,60.47,49.19
2019,150744,0.14,0.78,0.36,46.61,66.33,32.46
2009,3028,0.87,0.96,0.21,88.47,84.51,96.95
2008,141368,0.91,0.16,0.8,69.68,38.59,26.91
2021,236561,0.3,0.51,0.96,17.92,25.46,5.0
2008,70000,0.85,0.59,0.91,70.72,68.36,48.89
2023,52402,0.44,0.02,0.79,87.55,78.88,61.15
2005,28995,0.13,0.81,0.32,87.27,93.8,81.22
2003,33743,0.63,0.91,0.22,72.55,79.52,80.52
2014,71381,0.05,0.0,0.77,73.35,89.98,67.69
2007,52914,0.89,0.45,0.21,71.34,73.88,70.59
2008,50766,0.05,0.79,0.1,68.95,89.42,76.63
2010,90642,0.98,0.27,0.5,74.29,58.55,49.15
2017,13675,0.71,0.72,0.53,79.54,78.94,84.32
2011,69289,0.04,0.65,0.63,70.67,85.13,56.63
2016,154891,0.01,0.04,0.5,52.49,64.73,22.31
2009,11938,0.3,0.41,0.43,94.46,100.0,88.3
2012,83941,0.86,0.23,0.21,64.2,72.27,64.82
2020,58229,0.31,0.52,0.87,82.12,85.05,68.62
2005,7941,0.29,0.27,0.65,92.21,93.68,79.65
2015,84403,0.61,0.44,0.94,77.94,66.33,52.1
2023,29336,0.24,0.58,1.0,89.07,84.29,79.56
2010,209836,0.75,0.29,0.3,37.75,36.8,6.05
2002,158735,0.6,0.77,0.43,38.82,58.14,18.92
2018,45031,0.69,0.28,0.62,79.23,81.02,59.88
2024,139358,0.33,0.84,0.84,41.67,60.84,32.91
2020,47906,0.26,0.71,0.16,70.62,78.73,83.78
2013,39079,0.38,0.92,0.05,70.93,84.89,77.99
2012,239832,0.1,0.99,0.28,13.46,41.48,5.0
2011,163770,0.34,0.36,0.54,46.65,53.49,15.67
