brand,model,year,total_complaints,drivetrain_score,electrical_score,engine_score,overall_score
Honda,Civic,2000,299,64.53,94.93,37.93,65.8
Honda,Civic,2001,1128,59.47,78.47,15.13,51.02
Honda,Civic,2002,717,67.07,84.8,34.13,62.0
Honda,Civic,2003,524,67.07,63.27,31.6,53.98
Honda,Civic,2004,350,63.27,81.0,60.73,68.33
Honda,Civic,2005,314,65.8,78.47,64.53,69.6
Honda,Civic,2006,1402,36.67,46.8,8.8,30.76
Honda,Civic,2007,1203,34.13,62.0,30.33,42.15
Honda,Civic,2008,913,58.2,62.0,40.47,53.56
Honda,Civic,2009,393,64.53,62.0,70.87,65.8
Honda,Civic,2010,395,64.53,94.93,83.53,81.0
Honda,Civic,2011,168,65.8,94.93,93.67,84.8
Honda,Civic,2012,452,65.8,49.33,67.07,60.73
Honda,Civic,2013,311,62.0,81.0,79.73,74.24
Honda,Civic,2014,284,67.07,86.07,70.87,74.67
Honda,Civic,2015,373,62.0,74.67,75.93,70.87
Honda,Civic,2016,1022,63.27,59.47,49.33,57.36
Honda,Civic,2017,555,63.27,62.0,51.87,59.05
Honda,Civic,2018,603,68.33,78.47,50.6,65.8
Honda,Civic,2019,355,62.0,79.73,56.93,66.22
Honda,Civic,2020,206,67.07,92.4,62.0,73.82
Honda,Civic,2021,122,67.07,96.2,93.67,85.65
Honda,Civic,2022,867,67.07,91.13,84.8,81.0
Honda,Accord,2000,1214,62.0,51.87,29.07,47.65
Honda,Accord,2001,941,55.67,78.47,43.0,59.05
Honda,Accord,2002,1066,63.27,88.6,18.93,56.93
Honda,Accord,2003,2010,62.0,70.87,8.8,47.22
Honda,Accord,2004,1015,63.27,67.07,22.73,51.02
Honda,Accord,2005,686,64.53,56.93,30.33,50.6
Honda,Accord,2006,430,59.47,82.27,81.0,74.25
Honda,Accord,2007,524,63.27,84.8,59.47,69.18
Honda,Accord,2008,1515,63.27,43.0,44.27,50.18
Honda,Accord,2009,719,60.73,77.2,44.27,60.73
Honda,Accord,2010,578,55.67,88.6,48.07,64.11
Honda,Accord,2011,295,73.4,93.67,77.2,81.42
Honda,Accord,2012,376,55.67,89.87,73.4,72.98
Honda,Accord,2013,1405,49.33,5.0,29.07,27.8
Honda,Accord,2014,961,60.73,5.0,31.6,32.44
Honda,Accord,2015,585,67.07,5.0,29.07,33.71
Honda,Accord,2016,569,67.07,32.87,41.73,47.22
Honda,Accord,2017,510,64.53,48.07,48.07,53.56
Honda,Accord,2018,1680,64.53,55.67,5.0,41.73
Honda,Accord,2019,590,63.27,68.33,5.0,45.53
Honda,Accord,2020,316,65.8,89.87,26.53,60.73
Honda,Accord,2021,181,65.8,87.33,50.6,67.91
Honda,Accord,2022,157,67.07,93.67,68.33,76.36
Honda,CR-V,2000,141,93.67,100.0,84.8,92.82
Honda,CR-V,2001,151,84.8,96.2,74.67,85.22
Honda,CR-V,2002,526,67.07,92.4,44.27,67.91
Honda,CR-V,2003,493,67.07,86.07,51.87,68.34
Honda,CR-V,2004,500,67.07,84.8,59.47,70.45
Honda,CR-V,2005,477,67.07,88.6,81.0,78.89
Honda,CR-V,2006,398,68.33,87.33,81.0,78.89
Honda,CR-V,2007,884,64.53,70.87,64.53,66.64
Honda,CR-V,2008,958,67.07,69.6,68.33,68.33
Honda,CR-V,2009,385,75.93,88.6,86.07,83.53
Honda,CR-V,2010,477,67.07,84.8,72.13,74.67
Honda,CR-V,2011,547,68.33,87.33,84.8,80.15
Honda,CR-V,2012,393,65.8,36.67,77.2,59.89
Honda,CR-V,2013,377,64.53,67.07,68.33,66.64
Honda,CR-V,2014,580,64.53,51.87,56.93,57.78
Honda,CR-V,2015,658,65.8,30.33,37.93,44.69
Honda,CR-V,2016,386,67.07,58.2,45.53,56.93
Honda,CR-V,2017,1692,68.33,41.73,5.0,38.35
Honda,CR-V,2018,1989,62.0,64.53,5.0,43.84
Honda,CR-V,2019,1014,65.8,60.73,26.53,51.02
Honda,CR-V,2020,302,67.07,78.47,62.0,69.18
Honda,CR-V,2021,261,68.33,91.13,51.87,70.44
Honda,CR-V,2022,182,68.33,91.13,87.33,82.26
Honda,CR-V,2023,486,68.33,87.33,65.8,73.82
Honda,CR-V,2024,349,68.33,91.13,54.4,71.29
Honda,CR-V,2025,194,67.07,87.33,72.13,75.51
Honda,Pilot,2003,745,59.47,91.13,41.73,64.11
Honda,Pilot,2004,544,67.07,96.2,60.73,74.67
Honda,Pilot,2005,678,64.53,73.4,25.27,54.4
Honda,Pilot,2006,266,67.07,92.4,59.47,72.98
Honda,Pilot,2007,211,68.33,94.93,81.0,81.42
Honda,Pilot,2008,132,81.0,100.0,93.67,91.56
Honda,Pilot,2009,134,68.33,97.47,86.07,83.96
Honda,Pilot,2010,111,75.93,98.73,84.8,86.49
Honda,Pilot,2011,289,62.0,86.07,73.4,73.82
Honda,Pilot,2012,169,65.8,88.6,68.33,74.24
Honda,Pilot,2013,265,62.0,98.73,59.47,73.4
Honda,Pilot,2014,114,69.6,97.47,65.8,77.62
Honda,Pilot,2015,105,82.27,97.47,74.67,84.8
Honda,Pilot,2016,1613,63.27,16.4,5.0,28.22
Honda,Pilot,2017,864,67.07,40.47,25.27,44.27
Honda,Pilot,2018,416,68.33,62.0,43.0,57.78
Honda,Pilot,2019,815,68.33,46.8,36.67,50.6
Honda,Pilot,2020,444,68.33,62.0,50.6,60.31
Honda,Pilot,2021,374,68.33,50.6,63.27,60.73
Honda,Pilot,2022,112,68.33,89.87,86.07,81.42
Honda,Pilot,2023,96,69.6,97.47,88.6,85.22
Honda,Pilot,2024,86,72.13,96.2,93.67,87.33
Honda,Pilot,2025,123,68.33,92.4,93.67,84.8
Honda,Ridgeline,2003,0,100.0,100.0,100.0,100.0
Honda,Ridgeline,2004,0,100.0,100.0,100.0,100.0
Honda,Ridgeline,2005,0,100.0,100.0,100.0,100.0
Honda,Ridgeline,2006,240,73.4,91.13,51.87,72.13
Honda,Ridgeline,2007,160,86.07,96.2,78.47,86.91
Honda,Ridgeline,2008,140,91.13,98.73,94.93,94.93
Honda,Ridgeline,2009,35,97.47,100.0,96.2,97.89
Honda,Ridgeline,2010,42,88.6,100.0,100.0,96.2
Honda,Ridgeline,2011,39,100.0,100.0,100.0,100.0
Honda,Ridgeline,2012,24,96.2,98.73,100.0,98.31
Honda,Ridgeline,2013,45,94.93,100.0,98.73,97.89
Honda,Ridgeline,2014,33,94.93,98.73,98.73,97.46
Honda,Ridgeline,2015,2,100.0,100.0,100.0,100.0
Honda,Ridgeline,2016,0,100.0,100.0,100.0,100.0
Honda,Ridgeline,2017,323,68.33,83.53,58.2,70.02
Honda,Ridgeline,2018,154,89.87,93.67,63.27,82.27
Honda,Ridgeline,2019,225,77.2,91.13,67.07,78.47
Honda,Ridgeline,2020,158,72.13,74.67,87.33,78.04
Honda,Ridgeline,2021,91,79.73,97.47,93.67,90.29
Honda,Ridgeline,2022,109,75.93,94.93,88.6,86.49
Honda,Ridgeline,2023,110,89.87,94.93,92.4,92.4
Honda,Ridgeline,2024,43,88.6,97.47,100.0,95.36
Honda,Ridgeline,2025,47,86.07,100.0,98.73,94.93
Subaru,Forester,2000,79,70.87,100.0,88.6,86.49
Subaru,Forester,2001,146,45.53,97.47,73.4,72.13
Subaru,Forester,2002,93,65.8,100.0,81.0,82.27
Subaru,Forester,2003,191,69.6,97.47,69.6,78.89
Subaru,Forester,2004,219,68.33,97.47,78.47,81.42
Subaru,Forester,2005,93,78.47,97.47,93.67,89.87
Subaru,Forester,2006,88,79.73,98.73,86.07,88.18
Subaru,Forester,2007,72,82.27,100.0,89.87,90.71
Subaru,Forester,2008,50,87.33,97.47,93.67,92.82
Subaru,Forester,2009,178,64.53,98.73,79.73,81.0
Subaru,Forester,2010,261,68.33,98.73,65.8,77.62
Subaru,Forester,2011,147,69.6,93.67,78.47,80.58
Subaru,Forester,2012,104,72.13,94.93,91.13,86.06
Subaru,Forester,2013,77,83.53,98.73,88.6,90.29
Subaru,Forester,2014,402,54.4,84.8,54.4,64.53
Subaru,Forester,2015,605,45.53,60.73,37.93,48.06
Subaru,Forester,2016,400,63.27,59.47,40.47,54.4
Subaru,Forester,2017,565,64.53,62.0,50.6,59.04
Subaru,Forester,2018,480,63.27,64.53,60.73,62.84
Subaru,Forester,2019,828,65.8,53.13,29.07,49.33
Subaru,Forester,2020,588,68.33,58.2,50.6,59.04
Subaru,Forester,2021,199,70.87,70.87,86.07,75.94
Subaru,Forester,2022,91,83.53,94.93,94.93,91.13
Subaru,Forester,2023,65,87.33,94.93,98.73,93.66
Subaru,Forester,2024,26,96.2,100.0,98.73,98.31
Subaru,Forester,2025,61,92.4,98.73,98.73,96.62
Subaru,Outback,2000,215,63.27,96.2,56.93,72.13
Subaru,Outback,2001,170,67.07,97.47,75.93,80.16
Subaru,Outback,2002,153,68.33,98.73,54.4,73.82
Subaru,Outback,2003,95,79.73,98.73,72.13,83.53
Subaru,Outback,2004,90,75.93,94.93,86.07,85.64
Subaru,Outback,2005,273,48.07,88.6,84.8,73.82
Subaru,Outback,2006,280,58.2,97.47,59.47,71.71
Subaru,Outback,2007,129,68.33,100.0,82.27,83.53
Subaru,Outback,2008,228,58.2,91.13,79.73,76.35
Subaru,Outback,2009,110,81.0,98.73,82.27,87.33
Subaru,Outback,2010,359,65.8,94.93,43.0,67.91
Subaru,Outback,2011,647,65.8,83.53,25.27,58.2
Subaru,Outback,2012,290,65.8,86.07,44.27,65.38
Subaru,Outback,2013,293,64.53,93.67,67.07,75.09
Subaru,Outback,2014,207,67.07,87.33,73.4,75.93
Subaru,Outback,2015,498,50.6,43.0,78.47,57.36
Subaru,Outback,2016,630,64.53,25.27,56.93,48.91
Subaru,Outback,2017,909,67.07,22.73,54.4,48.07
Subaru,Outback,2018,787,64.53,50.6,59.47,58.2
Subaru,Outback,2019,1023,64.53,34.13,51.87,50.18
Subaru,Outback,2020,887,63.27,40.47,67.07,56.94
Subaru,Outback,2021,284,70.87,64.53,83.53,72.98
Subaru,Outback,2022,439,70.87,70.87,91.13,77.62
Subaru,Outback,2023,83,79.73,93.67,97.47,90.29
Subaru,Outback,2024,2,98.73,100.0,100.0,99.58
Subaru,Outback,2025,54,87.33,98.73,96.2,94.09
Subaru,Crosstrek,2012,2,100.0,100.0,98.73,99.58
Subaru,Crosstrek,2013,25,96.2,98.73,97.47,97.47
Subaru,Crosstrek,2016,131,78.47,83.53,58.2,73.4
Subaru,Crosstrek,2017,97,75.93,91.13,69.6,78.89
Subaru,Crosstrek,2018,192,78.47,79.73,78.47,78.89
Subaru,Crosstrek,2019,274,81.0,62.0,74.67,72.56
Subaru,Crosstrek,2020,64,96.2,89.87,93.67,93.25
Subaru,Crosstrek,2021,100,82.27,88.6,89.87,86.91
Subaru,Crosstrek,2022,28,93.67,94.93,98.73,95.78
Subaru,Crosstrek,2023,29,92.4,100.0,98.73,97.04
Subaru,Crosstrek,2024,100,83.53,100.0,97.47,93.67
Subaru,Crosstrek,2025,30,97.47,100.0,98.73,98.73
Subaru,Impreza,2000,42,79.73,100.0,98.73,92.82
Subaru,Impreza,2001,11,94.93,98.73,100.0,97.89
Subaru,Impreza,2002,300,63.27,98.73,73.4,78.47
Subaru,Impreza,2003,64,81.0,100.0,89.87,90.29
Subaru,Impreza,2004,96,87.33,98.73,92.4,92.82
Subaru,Impreza,2005,75,89.87,98.73,93.67,94.09
Subaru,Impreza,2006,56,87.33,100.0,96.2,94.51
Subaru,Impreza,2007,68,89.87,98.73,88.6,92.4
Subaru,Impreza,2008,209,67.07,97.47,91.13,85.22
Subaru,Impreza,2009,112,68.33,97.47,84.8,83.53
Subaru,Impreza,2010,46,89.87,93.67,88.6,90.71
Subaru,Impreza,2011,57,87.33,97.47,93.67,92.82
Subaru,Impreza,2012,241,65.8,91.13,82.27,79.73
Subaru,Impreza,2013,247,68.33,93.67,67.07,76.36
Subaru,Impreza,2014,106,86.07,96.2,81.0,87.76
Subaru,Impreza,2015,78,83.53,96.2,70.87,83.53
Subaru,Impreza,2016,74,79.73,94.93,65.8,80.15
Subaru,Impreza,2017,124,82.27,91.13,89.87,87.76
Subaru,Impreza,2018,148,92.4,89.87,87.33,89.87
Subaru,Impreza,2019,187,89.87,89.87,93.67,91.14
Subaru,Impreza,2020,83,94.93,96.2,98.73,96.62
Subaru,Impreza,2021,14,96.2,100.0,98.73,98.31
Subaru,Impreza,2022,12,98.73,98.73,98.73,98.73
Subaru,Impreza,2023,4,100.0,100.0,100.0,100.0
Subaru,Impreza,2024,26,93.67,100.0,97.47,97.05
Subaru,Impreza,2025,3,100.0,100.0,100.0,100.0
Subaru,WRX,2002,426,65.8,100.0,83.53,83.11
Subaru,WRX,2003,60,73.4,100.0,94.93,89.44
Subaru,WRX,2004,42,98.73,100.0,100.0,99.58
Subaru,WRX,2005,19,98.73,100.0,98.73,99.15
Subaru,WRX,2006,14,100.0,100.0,98.73,99.58
Subaru,WRX,2007,0,100.0,100.0,100.0,100.0
Subaru,WRX,2008,65,68.33,100.0,98.73,89.02
Subaru,WRX,2009,41,70.87,100.0,97.47,89.45
Subaru,WRX,2010,1,98.73,100.0,100.0,99.58
Subaru,WRX,2011,4,98.73,100.0,100.0,99.58
Subaru,WRX,2012,2,98.73,100.0,100.0,99.58
Subaru,WRX,2013,7,98.73,100.0,97.47,98.73
Subaru,WRX,2014,6,96.2,98.73,98.73,97.89
Subaru,WRX,2015,52,96.2,93.67,92.4,94.09
Subaru,WRX,2016,34,96.2,94.93,93.67,94.93
Subaru,WRX,2017,51,96.2,91.13,93.67,93.67
Subaru,WRX,2018,40,98.73,93.67,89.87,94.09
Subaru,WRX,2019,27,100.0,88.6,94.93,94.51
Subaru,WRX,2020,17,97.47,93.67,100.0,97.05
Subaru,WRX,2021,12,98.73,100.0,96.2,98.31
Subaru,WRX,2022,22,97.47,100.0,100.0,99.16
Subaru,WRX,2023,6,98.73,100.0,98.73,99.15
Subaru,WRX,2024,13,96.2,100.0,100.0,98.73
Subaru,WRX,2025,1,100.0,100.0,100.0,100.0
Subaru,Ascent,2019,431,65.8,50.6,74.67,63.69
Subaru,Ascent,2020,310,65.8,58.2,81.0,68.33
Subaru,Ascent,2021,93,87.33,84.8,96.2,89.44
Subaru,Ascent,2022,50,79.73,98.73,96.2,91.55
Subaru,Ascent,2023,36,87.33,98.73,100.0,95.35
Subaru,Ascent,2024,43,96.2,100.0,100.0,98.73
Subaru,Ascent,2025,8,100.0,100.0,100.0,100.0
Nissan,Altima,2000,181,73.4,93.67,60.73,75.93
Nissan,Altima,2001,174,78.47,88.6,63.27,76.78
Nissan,Altima,2002,1063,64.53,68.33,5.0,45.95
Nissan,Altima,2003,883,68.33,50.6,5.0,41.31
Nissan,Altima,2004,276,70.87,91.13,44.27,68.76
Nissan,Altima,2005,1089,64.53,56.93,11.33,44.26
Nissan,Altima,2006,824,67.07,62.0,21.47,50.18
Nissan,Altima,2007,497,65.8,74.67,54.4,64.96
Nissan,Altima,2008,1027,68.33,65.8,51.87,62.0
Nissan,Altima,2009,1547,63.27,30.33,32.87,42.16
Nissan,Altima,2010,378,68.33,56.93,63.27,62.84
Nissan,Altima,2011,240,73.4,82.27,77.2,77.62
Nissan,Altima,2012,421,65.8,82.27,48.07,65.38
Nissan,Altima,2013,2301,64.53,43.0,46.8,51.44
Nissan,Altima,2014,1098,65.8,74.67,48.07,62.85
Nissan,Altima,2015,936,65.8,72.13,69.6,69.18
Nissan,Altima,2016,541,64.53,79.73,60.73,68.33
Nissan,Altima,2017,375,65.8,94.93,72.13,77.62
Nissan,Altima,2018,218,67.07,89.87,92.4,83.11
Nissan,Altima,2019,211,67.07,86.07,78.47,77.2
Nissan,Altima,2020,165,75.93,92.4,89.87,86.07
Nissan,Altima,2021,56,79.73,97.47,100.0,92.4
Nissan,Altima,2022,20,94.93,97.47,100.0,97.47
Nissan,Altima,2023,24,94.93,93.67,97.47,95.36
Nissan,Altima,2024,34,96.2,100.0,98.73,98.31
Nissan,Altima,2025,5,100.0,100.0,100.0,100.0
Nissan,Sentra,2000,182,74.67,97.47,68.33,80.16
Nissan,Sentra,2001,248,65.8,88.6,56.93,70.44
Nissan,Sentra,2002,333,68.33,87.33,29.07,61.58
Nissan,Sentra,2003,180,84.8,88.6,39.2,70.87
Nissan,Sentra,2004,197,78.47,92.4,36.67,69.18
Nissan,Sentra,2005,170,82.27,94.93,26.53,67.91
Nissan,Sentra,2006,116,83.53,96.2,82.27,87.33
Nissan,Sentra,2007,153,67.07,93.67,79.73,80.16
Nissan,Sentra,2008,167,68.33,98.73,81.0,82.69
Nissan,Sentra,2009,55,82.27,93.67,94.93,90.29
Nissan,Sentra,2010,144,83.53,64.53,83.53,77.2
Nissan,Sentra,2011,141,68.33,78.47,69.6,72.13
Nissan,Sentra,2012,180,73.4,88.6,74.67,78.89
Nissan,Sentra,2013,634,65.8,91.13,50.6,69.18
Nissan,Sentra,2014,378,68.33,91.13,63.27,74.24
Nissan,Sentra,2015,344,64.53,96.2,56.93,72.55
Nissan,Sentra,2016,264,70.87,81.0,65.8,72.56
Nissan,Sentra,2017,223,68.33,78.47,83.53,76.78
Nissan,Sentra,2018,181,65.8,88.6,89.87,81.42
Nissan,Sentra,2019,214,67.07,62.0,87.33,72.13
Nissan,Sentra,2020,193,63.27,84.8,97.47,81.85
Nissan,Sentra,2021,121,68.33,74.67,100.0,81.0
Nissan,Sentra,2022,75,83.53,88.6,97.47,89.87
Nissan,Sentra,2023,17,97.47,94.93,100.0,97.47
Nissan,Sentra,2024,27,91.13,98.73,100.0,96.62
Nissan,Sentra,2025,20,93.67,98.73,97.47,96.62
Nissan,Rogue,2007,1,100.0,100.0,100.0,100.0
Nissan,Rogue,2008,427,79.73,97.47,56.93,78.04
Nissan,Rogue,2009,319,82.27,97.47,68.33,82.69
Nissan,Rogue,2010,282,68.33,88.6,62.0,72.98
Nissan,Rogue,2011,361,68.33,75.93,48.07,64.11
Nissan,Rogue,2012,316,65.8,93.67,64.53,74.67
Nissan,Rogue,2013,604,67.07,77.2,25.27,56.51
Nissan,Rogue,2014,430,68.33,82.27,50.6,67.07
Nissan,Rogue,2015,538,67.07,84.8,58.2,70.02
Nissan,Rogue,2016,530,63.27,69.6,60.73,64.53
Nissan,Rogue,2017,576,64.53,86.07,58.2,69.6
Nissan,Rogue,2018,612,68.33,83.53,65.8,72.55
Nissan,Rogue,2019,320,68.33,87.33,86.07,80.58
Nissan,Rogue,2020,142,68.33,91.13,92.4,83.95
Nissan,Rogue,2021,247,68.33,73.4,69.6,70.44
Nissan,Rogue,2022,220,72.13,88.6,41.73,67.49
Nissan,Rogue,2023,569,68.33,74.67,27.8,56.93
Nissan,Rogue,2024,144,89.87,98.73,84.8,91.13
Nissan,Rogue,2025,138,93.67,98.73,100.0,97.47
Nissan,Pathfinder,2000,129,75.93,100.0,75.93,83.95
Nissan,Pathfinder,2001,239,64.53,94.93,75.93,78.46
Nissan,Pathfinder,2002,171,69.6,100.0,87.33,85.64
Nissan,Pathfinder,2003,110,77.2,100.0,93.67,90.29
Nissan,Pathfinder,2004,67,78.47,100.0,93.67,90.71
Nissan,Pathfinder,2005,1050,65.8,88.6,26.53,60.31
Nissan,Pathfinder,2006,837,68.33,87.33,30.33,62.0
Nissan,Pathfinder,2007,561,68.33,92.4,31.6,64.11
Nissan,Pathfinder,2008,328,68.33,87.33,34.13,63.26
Nissan,Pathfinder,2009,37,92.4,97.47,78.47,89.45
Nissan,Pathfinder,2010,40,94.93,100.0,79.73,91.55
Nissan,Pathfinder,2011,45,92.4,97.47,96.2,95.36
Nissan,Pathfinder,2012,23,98.73,97.47,98.73,98.31
Nissan,Pathfinder,2013,885,60.73,83.53,44.27,62.84
Nissan,Pathfinder,2014,565,64.53,77.2,59.47,67.07
