year,mileage,temp_scale,habit_scale,idle_scale,bat_wellness,alt_wellness,sta_wellness
2017,183855,0.29,0.61,0.85,43.95,35.57,62.53
2003,71963,0.56,0.27,0.29,5.0,70.27,29.21
2003,180625,0.78,0.31,0.6,5.0,28.82,26.47
2016,15801,0.45,0.14,0.95,45.97,80.24,67.72
2017,162947,0.52,0.41,0.37,41.62,51.36,50.89
2000,218735,0.1,0.9,0.58,5.0,42.26,10.55
2021,35061,0.93,0.8,0.15,50.96,78.84,63.94
2015,15784,0.68,0.57,0.19,31.15,81.94,59.2
2024,103627,0.71,0.16,0.17,69.36,77.35,87.0
2020,9280,0.37,0.6,0.19,62.11,90.19,68.51
2005,160288,0.93,0.64,0.83,5.0,39.92,34.47
2018,220339,0.84,0.99,0.77,34.7,32.33,53.33
2004,244256,0.85,0.36,0.73,5.0,22.65,15.7
2012,134288,0.98,0.6,0.51,7.44,45.99,55.28
2008,150556,0.95,0.98,0.63,5.0,48.28,30.44
2015,189958,0.71,0.21,0.33,22.89,44.1,51.73
2011,245843,0.81,0.9,0.37,5.0,29.37,30.92
2017,49847,0.87,0.1,0.85,37.58,59.45,80.12
2014,249980,0.59,0.52,0.79,19.84,20.82,37.95
2022,10835,0.22,0.19,0.75,66.51,83.19,94.64
2020,29511,0.35,0.74,0.32,61.9,91.0,73.01
2020,149098,0.91,0.61,0.52,55.36,48.1,67.03
2001,13323,0.79,0.3,0.55,5.0,82.76,33.98
2014,153256,0.84,0.99,0.62,20.39,17.95,46.19
2017,97578,0.17,0.2,0.16,45.5,71.66,77.38
2014,86356,0.01,0.11,0.37,27.02,74.75,62.42
2007,14065,0.68,0.12,0.56,5.0,79.52,47.14
2014,1218,0.61,0.39,0.24,22.32,94.42,66.86
2014,85313,0.76,0.65,0.22,22.2,74.75,68.74
2016,155699,0.73,0.72,0.09,30.09,59.87,50.61
2003,21602,0.07,0.41,0.95,5.0,80.89,36.92
2006,13223,0.01,0.8,0.49,5.0,95.38,38.85
2024,69342,0.91,0.4,0.42,72.28,64.64,87.32
2009,135320,0.31,0.08,0.89,5.0,48.49,47.18
2011,237088,0.32,0.81,0.48,11.79,28.95,39.61
2001,139812,0.69,0.31,0.84,5.0,45.06,12.46
2005,229075,0.83,0.81,0.84,5.0,18.59,20.45
2023,204136,0.6,0.28,0.13,65.28,41.53,81.95
2014,78588,0.1,0.03,0.98,41.89,67.94,67.46
2011,31574,0.72,0.36,0.01,10.67,86.41,52.28
2004,226745,1.0,0.55,0.64,5.0,24.43,22.0
2015,208676,0.88,0.57,0.6,19.51,41.62,48.09
2015,15923,0.41,0.9,0.36,37.46,86.57,66.8
2019,35908,0.96,0.16,0.53,54.19,68.05,76.75
2023,238436,0.1,0.86,0.7,73.08,26.57,64.6
2005,149317,0.56,0.32,0.53,5.0,62.06,29.9
2020,50231,0.02,0.25,0.92,67.86,71.54,81.74
2002,186139,0.65,0.23,0.72,5.0,36.86,15.02
2000,1731,0.22,0.35,0.21,5.0,89.96,22.92
2021,243918,0.95,0.17,0.22,55.63,21.94,68.59
2021,206824,0.81,0.95,0.21,47.58,34.98,56.71
2002,144265,0.36,0.31,0.89,5.0,43.47,25.36
2001,62849,0.37,0.1,0.02,5.0,90.92,35.93
2018,136575,0.49,0.4,0.93,49.58,48.64,68.78
2017,139486,0.08,0.78,0.61,57.41,47.53,45.04
2019,79330,0.44,0.16,0.79,59.04,68.09,73.94
2018,189956,0.97,0.64,0.52,32.34,32.45,63.75
2004,219747,0.19,0.54,0.36,5.0,29.29,20.54
2007,243259,0.82,0.62,0.28,5.0,15.43,25.94
2002,129611,0.39,0.8,0.41,5.0,58.16,17.11
2023,173505,0.19,0.25,0.98,73.95,35.17,83.21
2008,144174,0.38,0.21,0.21,6.9,55.36,45.89
2004,173979,0.72,0.97,0.47,5.0,42.08,18.74
2005,4477,0.53,0.88,0.87,5.0,73.39,39.91
2016,200327,0.55,0.99,0.91,24.76,31.77,55.43
2006,36304,0.25,0.22,0.7,5.0,73.21,40.72
2023,221839,0.05,0.1,0.81,74.55,39.97,71.76
2022,14073,0.46,0.54,0.23,68.55,84.17,75.73
2016,2203,0.34,0.95,0.46,44.89,86.52,54.72
2000,226876,0.45,0.18,0.49,5.0,29.48,30.4
2000,229675,0.93,0.68,0.4,5.0,28.19,5.0
2018,24540,0.09,0.01,0.39,63.18,94.89,89.26
2009,23353,0.97,0.24,0.48,5.0,87.41,47.59
2022,127962,0.83,0.66,0.41,52.52,54.03,72.67
2017,249987,0.56,0.71,0.5,35.53,23.2,50.72
2009,94433,0.56,0.46,0.24,5.0,63.88,43.04
2010,74162,0.22,0.66,0.25,15.74,74.65,41.23
2006,42887,0.61,0.82,0.54,5.0,83.2,36.05
2007,230026,0.28,0.33,0.15,5.0,46.27,35.78
2022,241262,0.9,0.46,0.36,54.14,23.73,69.64
2006,192898,0.91,0.52,0.69,5.0,35.56,31.36
2008,244205,0.76,0.85,0.79,5.0,24.51,20.18
2000,106666,0.19,0.43,0.29,5.0,66.21,24.56
2020,120982,0.63,0.46,0.49,49.05,58.47,76.92
2008,40850,0.83,0.56,0.48,5.0,71.5,40.87
2001,14277,0.24,0.2,0.6,5.0,77.51,36.06
2021,197616,0.4,1.0,0.03,57.13,50.32,54.42
2004,193120,0.37,0.34,0.31,5.0,46.08,23.46
2019,225077,0.93,0.33,0.55,37.39,31.01,50.83
2008,93734,0.03,0.68,0.29,5.0,62.69,33.07
2014,33221,0.55,0.03,0.88,26.85,79.23,58.12
2021,106796,0.93,0.58,0.6,60.78,46.79,68.11
2024,245554,0.46,0.49,0.28,72.94,36.57,68.85
2007,116684,0.52,0.52,0.83,5.0,56.32,39.04
2021,223330,0.14,0.32,0.56,57.93,25.77,67.85
2017,211097,0.52,0.38,0.88,34.42,21.55,49.04
2009,169606,0.92,0.98,0.31,5.0,41.88,37.08
2008,68569,0.12,0.84,0.32,5.0,69.79,42.45
2023,237426,0.43,0.4,0.74,57.61,24.62,71.43
2007,223952,0.8,0.71,0.54,5.0,23.76,27.49
2019,85698,0.23,0.87,0.71,61.25,63.2,73.52
2007,71673,0.45,0.65,0.0,5.0,75.6,34.81
2015,93092,0.96,0.03,0.22,18.65,63.03,61.51
2024,72804,0.22,0.53,0.76,93.14,73.26,79.8
2012,31020,0.99,0.0,0.56,8.01,71.05,68.65
2002,110867,0.17,0.75,0.14,5.0,64.71,24.24
2022,209363,0.68,0.48,0.62,57.89,28.91,67.93
2019,13332,0.46,0.67,0.24,59.31,87.78,71.97
2000,186263,0.41,0.24,0.67,5.0,32.98,25.28
2016,152814,0.41,0.96,0.29,37.04,59.4,58.65
2013,130674,0.03,0.47,0.03,25.06,61.28,51.26
2017,96096,0.07,0.03,0.32,41.06,68.8,71.56
2000,132045,0.43,0.97,0.51,5.0,53.46,19.2
2005,6455,1.0,0.02,0.82,5.0,74.29,43.69
2020,78346,0.65,0.41,0.09,54.94,72.75,74.03
2003,146073,0.77,0.72,0.73,5.0,44.3,22.57
2019,142668,0.19,0.69,0.9,47.22,52.05,65.44
2006,85645,0.61,0.28,0.66,5.0,64.16,44.9
2010,237916,0.74,0.66,0.92,5.0,27.28,35.39
2004,28896,0.33,0.07,0.5,5.0,83.37,38.12
2011,81835,0.43,0.84,0.03,10.78,68.72,42.73
2007,74855,0.29,0.25,0.46,5.0,73.17,47.09
2000,51395,0.43,0.84,0.13,5.0,79.61,16.2
2021,64887,0.07,0.16,0.02,70.31,90.2,86.37
2016,65360,0.29,0.92,0.45,51.92,79.42,63.76
2021,168634,0.29,0.63,0.72,56.03,44.24,62.27
2002,13114,0.15,0.51,0.79,5.0,73.82,33.51
2024,87715,0.64,0.07,0.68,73.8,61.52,94.62
2009,62817,0.18,0.94,0.73,14.26,70.88,50.07
2006,42965,0.9,0.01,0.72,5.0,67.2,51.81
2003,151369,0.25,0.82,0.72,5.0,54.18,23.22
2003,234338,0.74,0.9,0.72,5.0,24.91,7.75
2009,212058,0.46,0.11,0.5,5.0,25.73,41.99
2007,236845,0.83,0.63,0.99,5.0,22.41,29.32
2005,22339,0.25,0.25,0.9,5.0,81.01,40.31
2020,155142,0.73,0.63,0.35,43.9,46.35,69.08
2011,120722,0.94,0.58,0.03,6.75,66.82,44.48
2018,93958,0.4,0.38,0.18,45.61,56.44,70.34
2008,58772,0.41,0.88,0.34,5.0,77.18,41.88
2010,92077,0.86,0.97,0.39,5.0,55.78,44.22
2013,76209,0.22,0.69,0.4,27.63,64.1,47.24
2002,165451,0.2,0.27,0.9,5.0,51.31,20.88
2013,84138,0.85,0.01,0.33,5.48,72.17,64.72
2003,141010,0.74,0.04,0.13,5.0,18.78,35.54
2005,143501,0.53,0.85,0.05,5.0,55.61,25.86
2022,111454,0.47,0.79,0.7,74.6,59.7,73.95
2017,2825,0.84,0.81,0.64,36.13,82.01,66.09
2018,206486,0.27,0.85,0.79,51.98,37.72,48.59
2009,227033,0.3,0.09,0.77,5.0,26.35,41.21
2023,111698,0.77,0.76,0.26,70.24,61.27,75.82
2002,236397,0.72,0.21,0.47,5.0,35.82,22.56
2014,55153,0.62,0.73,0.88,33.16,58.97,61.38
2012,217385,0.88,0.22,0.2,5.0,33.51,46.4
2004,41223,0.34,0.69,0.66,5.0,75.3,36.25
2008,233161,0.55,0.79,0.66,5.0,27.41,25.67
2010,14509,0.42,0.77,0.19,16.82,83.54,41.35
2011,146435,0.52,0.68,0.16,18.44,52.81,40.49
2016,165486,0.26,0.41,0.59,43.74,50.99,62.87
2009,210527,0.04,0.41,0.3,9.59,45.55,34.81
2013,87135,1.0,0.29,0.27,10.31,58.03,58.11
2002,95363,0.27,0.18,0.53,5.0,60.13,20.24
2002,55960,0.87,0.89,0.5,5.0,60.62,24.55
2013,106259,0.23,0.26,0.63,26.37,60.46,58.24
2004,15249,0.96,0.9,0.27,5.0,85.62,37.3
2014,66752,0.6,0.64,0.56,21.26,72.07,59.56
2016,248446,0.43,0.79,0.31,26.57,28.01,49.51
2021,164050,0.12,0.75,0.07,60.77,53.87,67.24
2020,132540,0.97,0.23,0.07,38.78,58.65,68.85
2013,205240,0.45,0.97,0.43,18.98,41.18,49.14
2013,97865,0.04,0.57,0.48,26.98,68.89,48.49
2015,125889,0.74,0.81,0.89,24.84,44.83,62.69
2010,210923,0.75,0.06,0.26,5.0,40.61,45.48
2004,70814,0.45,0.73,0.23,5.0,66.92,32.13
2005,159798,0.13,0.08,0.43,5.0,47.9,40.85
2022,206655,0.13,0.08,0.02,74.47,52.6,77.88
2013,224599,0.59,0.32,0.77,14.69,26.05,46.23
2001,139649,0.39,0.66,0.22,5.0,52.57,16.77
2020,56725,0.42,0.31,0.99,60.72,68.86,71.29
2005,183380,0.53,0.15,0.12,5.0,45.69,29.11
2017,150158,0.24,0.71,0.63,50.79,45.78,52.13
2014,26329,0.4,0.09,0.77,33.7,78.03,71.41
2009,128275,0.92,0.47,0.58,5.0,53.47,34.7
2024,177087,0.55,0.78,0.03,65.52,46.9,74.27
2020,103691,0.37,0.29,0.76,55.32,57.51,71.49
2013,8533,0.55,0.48,0.54,18.32,82.56,57.01
2021,38492,0.27,0.57,0.35,75.3,85.17,74.7
2021,227496,0.57,0.46,0.29,59.34,38.79,65.65
2015,66060,0.52,0.57,0.4,42.1,72.53,50.25
2011,5807,0.4,0.11,0.67,16.84,82.71,74.61
2023,145591,0.6,0.56,0.76,69.57,46.48,84.33
2000,44491,0.7,0.62,0.34,5.0,74.38,20.76
2014,151466,0.26,0.98,0.19,25.14,58.59,35.32
2003,167609,0.84,0.91,0.22,5.0,46.8,17.64
2015,242185,0.98,0.95,0.31,6.5,30.46,33.28
2001,143761,0.48,0.62,0.57,5.0,55.3,23.94
2002,99785,0.59,0.75,0.74,5.0,61.52,21.49
2007,182394,0.25,0.28,0.57,5.0,45.11,33.86
2012,216760,0.66,0.66,0.92,17.9,24.11,39.31
2024,23553,0.79,0.72,0.2,81.41,78.73,87.25
2022,138340,0.27,0.33,0.6,72.49,50.33,74.65
2008,4770,0.38,0.89,0.47,5.0,85.27,41.68
2005,64341,0.03,0.04,0.87,5.0,68.84,41.39
2023,119726,0.26,0.87,0.36,75.55,51.53,70.39
2015,80767,0.87,0.4,0.84,21.94,58.27,59.7
2017,241308,0.71,0.03,0.89,24.46,15.75,61.46
2024,79688,0.33,0.2,0.9,72.15,63.52,88.7
2012,93469,0.59,0.61,0.97,23.97,48.44,45.13
2019,196541,0.22,0.03,0.92,44.83,32.2,59.32
2007,42046,0.47,0.27,0.78,5.0,72.26,47.79
2015,110842,0.6,0.05,0.33,32.17,59.62,61.41
2018,233458,0.34,0.35,0.9,45.27,26.05,51.82
2014,219712,0.84,0.25,0.15,13.31,37.8,50.83
2002,88851,0.59,0.96,0.95,5.0,53.29,7.9
2010,105906,0.51,0.76,0.3,5.48,71.3,40.68
2019,52585,0.57,0.1,0.67,45.88,66.82,68.96
2012,94411,0.87,0.67,0.98,12.4,52.68,48.33
2000,244793,0.74,0.86,0.79,5.0,21.28,5.0
2014,153252,0.88,0.84,0.15,15.86,45.89,47.58
2006,18658,0.9,0.91,0.92,5.0,78.85,32.85
2019,74502,0.68,0.7,0.38,55.82,71.69,63.31
2023,176625,0.59,0.83,0.66,75.65,42.93,70.61
2001,222830,0.33,0.17,0.01,5.0,38.16,15.7
2000,60148,0.59,0.75,0.55,5.0,71.01,22.57
2007,95009,0.67,0.13,0.24,5.0,63.71,45.47
2022,157528,0.85,0.53,0.11,53.79,53.31,60.31
2021,249061,0.9,0.72,0.39,52.97,24.54,59.87
2011,125217,0.89,0.93,0.36,5.0,53.81,50.04
2024,162203,0.38,0.94,0.82,74.97,36.71,71.02
2007,225396,0.97,0.87,0.11,5.0,20.62,10.21
2001,229794,0.55,0.47,0.79,5.0,26.87,14.34
2021,81947,0.87,0.29,0.01,58.01,63.27,77.69
2022,215036,0.07,0.21,0.26,64.37,47.34,73.98
2004,154904,0.66,0.73,0.41,5.0,44.21,12.92
2012,22473,0.78,0.88,0.17,21.21,90.0,57.89
2020,108846,0.54,0.51,0.74,62.29,56.35,61.88
2023,84359,0.78,0.28,0.54,58.14,59.0,75.09
2015,36780,0.09,0.18,0.76,39.17,68.57,63.71
2024,143693,0.03,0.48,0.62,88.28,56.66,65.98
2023,75016,0.73,0.84,0.14,77.32,72.22,75.59
2007,184902,0.61,0.9,0.32,5.0,45.48,25.25
2017,1436,0.7,0.96,0.81,41.33,74.41,68.41
2015,2827,0.96,0.29,0.32,21.26,85.34,61.11
2005,50177,0.13,0.98,0.15,5.0,79.83,41.57
2000,115403,1.0,0.37,0.05,5.0,60.31,20.79
2022,209840,0.85,0.75,0.09,47.61,40.74,58.26
2004,122631,0.9,0.71,0.32,5.0,51.72,28.64
2015,221351,0.02,0.4,0.99,50.55,30.23,51.65
2016,72487,0.83,0.7,0.32,32.99,64.74,64.61
2013,61108,0.16,0.54,0.12,27.43,84.48,51.04
2012,58617,0.56,0.54,0.31,13.01,66.22,55.32
2020,155911,0.9,0.96,0.3,38.39,52.9,57.28
2000,133172,0.38,0.08,0.95,5.0,50.07,21.75
2021,68694,0.01,0.34,0.7,76.69,75.4,84.54
2007,27187,0.38,0.91,0.54,5.0,80.22,41.95
2020,107417,0.15,0.7,0.71,56.56,61.07,75.75
2000,182297,0.51,0.13,0.06,5.0,52.16,24.52
2007,90467,0.97,0.8,0.81,5.0,60.1,37.76
2018,222333,0.15,0.02,0.39,54.19,43.69,64.39
2015,19899,0.18,0.56,0.68,40.91,88.17,68.59
2003,218550,0.18,0.88,0.25,5.0,43.82,18.29
2010,6203,0.98,0.7,0.04,5.0,87.06,48.92
2020,108194,0.25,0.89,0.7,63.26,58.65,70.74
2001,156824,0.42,0.45,0.34,5.0,53.34,14.98
2009,107004,0.8,0.2,0.69,5.0,55.37,52.52
2022,20764,0.79,0.76,0.96,61.76,71.19,83.13
2010,225994,0.88,0.7,0.62,5.0,23.28,40.7
2004,124537,0.87,0.39,0.77,5.0,48.29,37.35
2009,26303,0.61,0.69,0.2,5.0,78.46,50.5
2014,175881,0.47,0.65,0.09,26.59,51.1,44.29
2012,13937,0.57,0.57,0.9,19.09,79.72,54.86
2013,191523,0.22,0.2,0.74,17.16,33.29,57.12
2006,113926,0.76,0.76,0.09,5.0,59.08,29.74
2009,94399,0.3,0.33,0.01,5.0,70.72,44.58
2022,19837,0.85,0.88,0.18,60.03,88.63,75.69
2019,226368,0.6,0.97,0.91,47.82,23.71,61.1
2018,135634,0.5,0.56,0.32,43.22,65.42,58.99
2018,109262,0.27,0.97,0.01,41.24,73.09,60.47
2015,137857,0.94,0.71,0.27,19.9,57.65,61.52
2022,178322,0.86,0.5,0.48,59.53,47.81,75.54
2010,213381,0.03,0.38,0.75,7.9,29.99,34.53
2016,114600,0.71,0.36,0.41,34.7,52.65,70.39
2023,10360,0.98,0.59,0.98,69.41,73.98,86.12
2004,74827,0.17,0.5,1.0,5.0,56.43,26.97
2001,86804,0.95,0.25,0.23,5.0,60.88,22.58
2012,201763,0.04,0.11,0.23,23.23,38.79,47.86
2005,154284,0.98,0.08,0.93,5.0,29.78,34.52
2005,178055,0.26,0.62,0.63,5.0,49.54,21.49
2013,20052,0.55,0.75,0.19,22.5,90.08,50.16
2003,200618,0.31,0.45,0.3,5.0,49.08,28.56
2016,112822,0.02,0.94,0.51,42.4,60.59,51.88
2017,17587,0.8,0.48,0.37,32.1,74.64,69.84
2004,176216,0.97,0.32,0.35,5.0,34.01,26.74
2000,145965,0.06,0.63,0.57,5.0,70.86,25.78
2015,62425,0.7,0.95,0.33,30.59,66.63,60.29
2014,19142,0.91,0.25,0.03,29.66,92.12,63.18
2016,177939,0.64,0.02,0.83,31.65,37.72,66.19
2015,224071,0.42,0.26,0.08,28.53,35.61,53.29
2004,12473,0.27,0.32,0.13,5.0,93.0,42.35
2017,157702,0.95,0.27,0.41,22.06,43.75,59.25
2018,192059,0.12,0.7,0.14,48.59,47.71,54.91
2001,151115,0.63,0.66,0.69,5.0,39.85,22.25
2018,138824,0.94,0.64,0.13,41.97,57.43,60.24
2002,152690,0.33,0.22,0.74,5.0,48.96,27.61
2008,119120,0.25,0.32,0.39,5.0,58.54,37.82
2011,168198,0.89,0.59,0.36,5.0,42.71,41.22
2017,183800,0.63,0.21,0.56,41.48,33.45,63.99
2010,173551,0.34,1.0,0.86,5.0,36.48,34.23
2009,215057,0.5,0.92,0.08,5.0,42.36,37.14
2005,223006,0.32,0.44,0.75,5.0,32.48,32.42
2002,175104,0.62,0.94,0.89,5.0,42.81,8.92
2019,47432,0.15,0.41,0.01,58.9,86.71,64.04
2024,130603,0.08,0.51,0.56,85.91,56.55,84.74
2011,191379,0.33,0.05,0.19,5.0,47.77,36.54
2021,162195,0.13,0.76,0.48,65.08,47.72,70.72
2007,59018,0.35,0.17,0.19,5.0,79.75,43.34
2009,50133,0.17,0.63,0.14,10.55,94.45,47.03
2020,132639,0.96,0.88,0.82,52.33,52.12,62.51
2015,137387,0.59,0.02,0.12,32.07,61.73,51.77
2009,109243,0.02,0.19,0.62,5.0,64.42,40.18
2012,192443,0.56,0.17,0.39,14.01,42.23,49.55
2003,86818,0.28,0.77,0.41,5.0,66.43,28.37
2014,182791,0.81,0.23,0.99,26.66,26.29,54.3
2021,29975,0.67,0.13,0.97,61.04,75.56,78.29
2021,129297,0.04,0.92,0.29,73.54,16.53,69.54
2019,55367,0.19,0.44,0.94,62.67,73.41,70.11
2014,63762,0.04,0.58,0.27,31.69,84.35,55.67
2008,181437,0.85,0.4,0.2,5.0,32.24,35.15
2007,198932,0.45,0.56,0.3,5.0,41.64,26.41
2016,203527,0.77,1.0,0.57,25.18,23.41,51.62
2005,171955,0.9,0.9,0.59,5.0,34.48,25.82
2019,121519,0.39,0.05,0.46,56.36,56.39,71.81
2020,68964,0.68,0.99,0.53,55.1,64.4,73.01
2024,186526,0.11,0.75,0.92,80.93,39.71,72.04
2014,167422,0.68,0.32,0.36,12.8,46.49,58.34
2002,6188,0.35,0.32,0.6,5.0,92.3,38.04
