slno,vehicle_type,brand,model,engine_type,make_year,region,mileage_range,mileage,oil_filter,engine_oil,washer_plug_drain,dust_and_pollen_filter,whell_alignment_and_balancing,air_clean_filter,fuel_filter,spark_plug,brake_fluid,brake_and_clutch_oil,transmission_fluid,brake_pads,clutch,coolant,cost,Maintenance_Type,volt_fluctuation,avg_temp,avg_rpm,avg_idle,alternator_wellness,battery_wellness,starter_motor_wellness,serpentine_belt_wellness,ignition_coils_wellness,cv_axle_wellness,wheel_bearings_wellness,fuel_pump_wellness,clutch_wellness,bushings_wellness,brake_pads_wellness,radiator_wellness,water_pump_wellness,spark_plugs_wellness,o2_sensor_wellness
18,car,honda,jazz,petrol,2017,chennai,10000,10832,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2631,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,84.4609090909091,84.09163636363637,84.09163636363637,81.13745454545455,83.18265734265734,83.66961038961038,84.4609090909091,84.4609090909091,81.94314049586777,81.13745454545455,72.2749090909091,85.56872727272727,82.61454545454546,78.92181818181818,82.61454545454546
19,car,honda,jazz,petrol,2017,chennai,10000,11034,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2639,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,84.35761363636364,83.98145454545455,83.98145454545455,80.97218181818182,83.05552447552448,83.55155844155844,84.35761363636364,84.35761363636364,81.79289256198346,80.97218181818182,71.94436363636363,85.4860909090909,82.47681818181819,78.71522727272726,82.47681818181819
20,car,honda,jazz,petrol,2017,chennai,10000,10228,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2703,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,84.76977272727272,84.4210909090909,84.4210909090909,81.63163636363636,83.5627972027972,84.02259740259741,84.76977272727272,84.76977272727272,82.39239669421488,81.63163636363636,73.26327272727274,85.81581818181817,83.02636363636364,79.53954545454546,83.02636363636364
21,car,honda,jazz,petrol,2017,chennai,20000,20679,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3336,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,79.42551136363636,78.72054545454546,78.72054545454546,73.08081818181819,76.98524475524476,77.91487012987014,79.42551136363636,79.42551136363636,74.61892561983471,73.08081818181819,56.16163636363636,81.5404090909091,75.90068181818181,68.85102272727273,75.90068181818181
22,car,honda,jazz,petrol,2017,chennai,20000,20797,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3418,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,79.36517045454545,78.65618181818182,78.65618181818182,72.98427272727272,76.91097902097903,77.84590909090909,79.36517045454545,79.36517045454545,74.53115702479339,72.98427272727272,55.96854545454546,81.49213636363636,75.82022727272727,68.73034090909091,75.82022727272727
23,car,honda,jazz,petrol,2017,chennai,20000,19646,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3276,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,79.95375000000001,79.284,79.284,73.926,77.63538461538461,78.51857142857143,79.95375000000001,79.95375000000001,75.38727272727273,73.926,57.852000000000004,81.96300000000001,76.60499999999999,69.90750000000001,76.60499999999999
24,car,honda,jazz,petrol,2017,chennai,20000,20566,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3134,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,79.48329545454546,78.78218181818181,78.78218181818181,73.17327272727273,77.05636363636363,77.9809090909091,79.48329545454546,79.48329545454546,74.70297520661157,73.17327272727273,56.34654545454546,81.58663636363636,75.97772727272728,68.96659090909091,75.97772727272728
25,car,honda,jazz,petrol,2017,chennai,20000,20478,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3489,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,79.52829545454546,78.83018181818181,78.83018181818181,73.24527272727273,77.11174825174825,78.03233766233767,79.52829545454546,79.52829545454546,74.76842975206611,73.24527272727273,56.49054545454547,81.62263636363636,76.03772727272727,69.05659090909091,76.03772727272727
26,car,honda,jazz,petrol,2017,chennai,20000,20787,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3578,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,79.3702840909091,78.66163636363638,78.66163636363638,72.99245454545454,76.91727272727273,77.85175324675325,79.3702840909091,79.3702840909091,74.53859504132232,72.99245454545454,55.9849090909091,81.49622727272727,75.82704545454546,68.74056818181818,75.82704545454546
27,car,honda,jazz,petrol,2017,chennai,20000,19899,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3248,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,79.824375,79.146,79.146,73.71900000000001,77.47615384615384,78.37071428571429,79.824375,79.824375,75.19909090909091,73.71900000000001,57.43800000000001,81.8595,76.43250000000002,69.64875,76.43250000000002
28,car,honda,jazz,petrol,2017,chennai,20000,20575,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3682,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,79.47869318181819,78.77727272727273,78.77727272727273,73.1659090909091,77.05069930069929,77.97564935064935,79.47869318181819,79.47869318181819,74.69628099173555,73.1659090909091,56.331818181818186,81.58295454545456,75.9715909090909,68.95738636363637,75.9715909090909
29,car,honda,jazz,petrol,2017,chennai,20000,21587,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3418,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,78.96119318181819,78.22527272727272,78.22527272727272,72.3379090909091,76.41377622377622,77.38422077922078,78.96119318181819,78.96119318181819,73.94355371900826,72.3379090909091,54.67581818181819,81.16895454545455,75.28159090909092,67.92238636363636,75.28159090909092
30,car,honda,jazz,petrol,2017,chennai,20000,20689,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3276,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,79.42039772727273,78.7150909090909,78.7150909090909,73.07263636363638,76.97895104895106,77.90902597402598,79.42039772727273,79.42039772727273,74.61148760330579,73.07263636363638,56.14527272727274,81.53631818181819,75.89386363636363,68.84079545454547,75.89386363636363
31,car,honda,jazz,petrol,2017,chennai,20000,20464,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3134,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,79.53545454545456,78.8378181818182,78.8378181818182,73.25672727272729,77.12055944055945,78.04051948051949,79.53545454545456,79.53545454545456,74.77884297520662,73.25672727272729,56.51345454545455,81.62836363636364,76.04727272727273,69.07090909090908,76.04727272727273
32,car,honda,jazz,petrol,2017,chennai,20000,21567,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3583,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,78.97142045454545,78.23618181818183,78.23618181818183,72.35427272727273,76.42636363636365,77.39590909090909,78.97142045454545,78.97142045454545,73.95842975206612,72.35427272727273,54.708545454545465,81.17713636363636,75.29522727272729,67.9428409090909,75.29522727272729
33,car,honda,jazz,petrol,2017,chennai,20000,22769,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3365,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,78.35676136363637,77.58054545454546,77.58054545454546,71.3708181818182,75.66986013986013,76.69344155844158,78.35676136363637,78.35676136363637,73.06438016528926,71.3708181818182,52.741636363636374,80.6854090909091,74.47568181818183,66.71352272727273,74.47568181818183
34,car,honda,jazz,petrol,2017,chennai,20000,20312,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3478,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,79.61318181818181,78.92072727272728,78.92072727272728,73.38109090909091,77.21622377622377,78.12935064935064,79.61318181818181,79.61318181818181,74.89190082644629,73.38109090909091,56.76218181818183,81.69054545454546,76.1509090909091,69.22636363636364,76.1509090909091
35,car,honda,jazz,petrol,2017,chennai,20000,20453,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3336,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,79.54107954545455,78.8438181818182,78.8438181818182,73.26572727272728,77.12748251748252,78.04694805194806,79.54107954545455,79.54107954545455,74.78702479338844,73.26572727272728,56.531454545454544,81.63286363636364,76.05477272727273,69.08215909090909,76.05477272727273
36,car,honda,jazz,petrol,2017,chennai,20000,20564,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3418,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,79.48431818181818,78.78327272727273,78.78327272727273,73.1749090909091,77.05762237762238,77.98207792207792,79.48431818181818,79.48431818181818,74.70446280991737,73.1749090909091,56.349818181818186,81.58745454545455,75.97909090909091,68.96863636363636,75.97909090909091
37,car,honda,jazz,petrol,2017,chennai,20000,20644,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3276,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,79.44340909090909,78.73963636363636,78.73963636363636,73.10945454545455,77.00727272727273,77.93532467532468,79.44340909090909,79.44340909090909,74.64495867768595,73.10945454545455,56.2189090909091,81.55472727272728,75.92454545454545,68.88681818181819,75.92454545454545
38,car,honda,jazz,petrol,2017,chennai,20000,20768,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3134,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,79.38000000000001,78.672,78.672,73.00800000000001,76.92923076923077,77.86285714285714,79.38000000000001,79.38000000000001,74.55272727272728,73.00800000000001,56.01600000000001,81.504,75.84,68.76,75.84
39,car,honda,jazz,petrol,2017,chennai,20000,20543,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3215,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,79.49505681818182,78.79472727272727,78.79472727272727,73.19209090909091,77.07083916083917,77.99435064935065,79.49505681818182,79.49505681818182,74.7200826446281,73.19209090909091,56.38418181818183,81.59604545454546,75.9934090909091,68.99011363636365,75.9934090909091
40,car,honda,jazz,petrol,2017,chennai,20000,21056,1,1,1,1,0,1,0,0,0,0,0,0,0,0,8714,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,79.23272727272727,78.5149090909091,78.5149090909091,72.77236363636364,76.74797202797203,77.69454545454546,79.23272727272727,79.23272727272727,74.33851239669421,72.77236363636364,55.54472727272728,81.38618181818183,75.64363636363636,68.46545454545453,75.64363636363636
41,car,honda,jazz,petrol,2017,chennai,30000,30239,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3143,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,74.536875,73.506,73.506,65.259,70.96846153846154,72.32785714285714,74.536875,74.536875,67.50818181818182,65.259,40.518,77.62950000000001,69.38250000000001,59.07374999999999,69.38250000000001
42,car,honda,jazz,petrol,2017,chennai,30000,30231,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3273,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,74.54096590909091,73.51036363636364,73.51036363636364,65.26554545454546,70.9734965034965,72.33253246753247,74.54096590909091,74.54096590909091,67.51413223140496,65.26554545454546,40.53109090909091,77.63277272727274,69.38795454545456,59.081931818181815,69.38795454545456
43,car,honda,jazz,petrol,2017,chennai,30000,30783,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3489,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,74.25869318181819,73.20927272727273,73.20927272727273,64.81390909090909,70.62608391608393,72.00993506493506,74.25869318181819,74.25869318181819,67.10355371900826,64.81390909090909,39.62781818181819,77.40695454545455,69.0115909090909,58.517386363636376,69.0115909090909
44,car,honda,jazz,petrol,2017,chennai,30000,30463,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3323,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,74.42232954545455,73.38381818181819,73.38381818181819,65.07572727272728,70.82748251748252,72.19694805194806,74.42232954545455,74.42232954545455,67.3415702479339,65.07572727272728,40.151454545454556,77.53786363636364,69.22977272727273,58.8446590909091,69.22977272727273
45,car,honda,jazz,petrol,2017,chennai,30000,30463,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3422,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,74.42232954545455,73.38381818181819,73.38381818181819,65.07572727272728,70.82748251748252,72.19694805194806,74.42232954545455,74.42232954545455,67.3415702479339,65.07572727272728,40.151454545454556,77.53786363636364,69.22977272727273,58.8446590909091,69.22977272727273
46,car,honda,jazz,petrol,2017,chennai,30000,29625,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3232,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,74.85085227272728,73.8409090909091,73.8409090909091,65.76136363636364,71.3548951048951,72.68668831168831,74.85085227272728,74.85085227272728,67.96487603305786,65.76136363636364,41.52272727272728,77.88068181818181,69.80113636363637,59.70170454545454,69.80113636363637
47,car,honda,jazz,petrol,2017,chennai,30000,31833,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3136,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,73.72176136363636,72.63654545454546,72.63654545454546,63.95481818181818,69.96524475524475,71.3962987012987,73.72176136363636,73.72176136363636,66.32256198347108,63.95481818181818,37.90963636363637,76.97740909090909,68.29568181818182,57.44352272727273,68.29568181818182
48,car,honda,jazz,petrol,2017,chennai,30000,30172,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3193,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,74.57113636363637,73.54254545454546,73.54254545454546,65.31381818181819,71.01062937062937,72.367012987013,74.57113636363637,74.57113636363637,67.55801652892562,65.31381818181819,40.62763636363638,77.6569090909091,69.42818181818181,59.14227272727273,69.42818181818181
49,car,honda,jazz,petrol,2017,chennai,30000,30132,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3344,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,74.59159090909091,73.56436363636364,73.56436363636364,65.34654545454546,71.0358041958042,72.39038961038962,74.59159090909091,74.59159090909091,67.58776859504133,65.34654545454546,40.69309090909092,77.67327272727272,69.45545454545454,59.18318181818182,69.45545454545454
50,car,honda,jazz,petrol,2017,chennai,30000,29234,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3474,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,75.05079545454545,74.05418181818182,74.05418181818182,66.08127272727273,71.60097902097901,72.91519480519482,75.05079545454545,75.05079545454545,68.25570247933885,66.08127272727273,42.162545454545466,78.04063636363637,70.06772727272727,60.10159090909091,70.06772727272727
51,car,honda,jazz,petrol,2017,chennai,30000,30541,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3750,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,74.38244318181819,73.34127272727272,73.34127272727272,65.01190909090909,70.77839160839162,72.15136363636364,74.38244318181819,74.38244318181819,67.28355371900827,65.01190909090909,40.023818181818186,77.50595454545456,69.1765909090909,58.764886363636364,69.1765909090909
52,car,honda,jazz,petrol,2017,chennai,30000,29689,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3523,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,74.818125,73.80600000000001,73.80600000000001,65.70899999999999,71.31461538461538,72.64928571428571,74.818125,74.818125,67.91727272727273,65.70899999999999,41.418000000000006,77.8545,69.75750000000001,59.636250000000004,69.75750000000001
53,car,honda,jazz,petrol,2017,chennai,30000,30545,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3263,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,74.38039772727272,73.33909090909091,73.33909090909091,65.00863636363637,70.77587412587414,72.14902597402597,74.38039772727272,74.38039772727272,67.2805785123967,65.00863636363637,40.01727272727273,77.50431818181819,69.17386363636363,58.76079545454545,69.17386363636363
54,car,honda,jazz,petrol,2017,chennai,30000,30432,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3283,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,74.43818181818182,73.40072727272728,73.40072727272728,65.1010909090909,70.84699300699302,72.21506493506493,74.43818181818182,74.43818181818182,67.36462809917356,65.1010909090909,40.20218181818182,77.55054545454546,69.25090909090909,58.87636363636364,69.25090909090909
55,car,honda,jazz,petrol,2017,chennai,30000,30679,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3384,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,74.31187500000001,73.266,73.266,64.89900000000002,70.69153846153846,72.07071428571429,74.31187500000001,74.31187500000001,67.1809090909091,64.89900000000002,39.79800000000001,77.44950000000001,69.0825,58.62375,69.0825
56,car,honda,jazz,petrol,2017,chennai,30000,30765,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3680,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,74.26789772727273,73.21909090909091,73.21909090909091,64.82863636363636,70.63741258741258,72.02045454545456,74.26789772727273,74.26789772727273,67.11694214876033,64.82863636363636,39.65727272727273,77.41431818181819,69.02386363636364,58.53579545454545,69.02386363636364
57,car,honda,jazz,petrol,2017,chennai,30000,30758,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4342,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,74.27147727272728,73.2229090909091,73.2229090909091,64.83436363636365,70.64181818181818,72.02454545454546,74.27147727272728,74.27147727272728,67.12214876033059,64.83436363636365,39.66872727272728,77.41718181818182,69.02863636363637,58.54295454545455,69.02863636363637
58,car,honda,jazz,petrol,2017,chennai,30000,31234,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5342,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,74.02806818181818,72.96327272727272,72.96327272727272,64.44490909090909,70.34223776223777,71.74636363636364,74.02806818181818,74.02806818181818,66.76809917355372,64.44490909090909,38.88981818181819,77.22245454545455,68.70409090909092,58.05613636363636,68.70409090909092
59,car,honda,jazz,petrol,2017,chennai,30000,30272,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4434,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,74.52000000000001,73.488,73.488,65.23200000000001,70.94769230769231,72.30857142857143,74.52000000000001,74.52000000000001,67.48363636363636,65.23200000000001,40.464000000000006,77.61600000000001,69.36,59.040000000000006,69.36
60,car,honda,jazz,petrol,2017,chennai,30000,30137,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4343,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,74.5890340909091,73.56163636363637,73.56163636363637,65.34245454545456,71.03265734265734,72.38746753246754,74.5890340909091,74.5890340909091,67.58404958677686,65.34245454545456,40.684909090909095,77.67122727272726,69.45204545454546,59.17806818181819,69.45204545454546
61,car,honda,jazz,petrol,2017,chennai,40000,40231,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4422,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,69.42732954545454,68.0558181818182,68.0558181818182,57.08372727272728,64.6797902097902,66.48837662337662,69.42732954545454,69.42732954545454,60.07611570247935,57.08372727272728,24.167454545454554,73.54186363636364,62.569772727272735,48.854659090909095,62.569772727272735
62,car,honda,jazz,petrol,2017,chennai,40000,40532,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4372,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,69.2734090909091,67.89163636363637,67.89163636363637,56.83745454545454,64.49034965034964,66.31246753246754,69.2734090909091,69.2734090909091,59.85223140495868,56.83745454545454,23.6749090909091,73.41872727272728,62.36454545454546,48.54681818181819,62.36454545454546
63,car,honda,jazz,petrol,2017,chennai,40000,39163,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4457,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,69.97346590909092,68.63836363636364,68.63836363636364,57.95754545454546,65.35195804195804,67.11253246753246,69.97346590909092,69.97346590909092,60.870495867768604,57.95754545454546,25.915090909090914,73.97877272727273,63.297954545454544,49.946931818181824,63.297954545454544
