year,mileage,temp_scale,idle_scale,habit_scale,coolant_wellness,ignition_wellness,fuel_wellness
2019,212705,0.05,0.59,0.65,39.34,23.42,53.13
2017,228743,0.51,0.5,0.03,37.25,28.72,54.23
2004,156558,0.68,0.4,0.97,7.97,37.16,60.88
2018,155832,0.67,0.29,0.55,42.97,41.0,64.25
2023,136422,0.88,0.02,0.51,52.08,48.38,63.92
2022,136758,0.51,0.03,0.3,59.13,55.65,78.86
2012,136736,0.11,0.65,0.45,32.31,52.46,75.25
2020,157668,0.98,0.46,0.61,31.58,33.57,66.58
2002,194320,0.08,0.89,0.43,5.0,26.86,60.27
2023,54291,0.14,0.43,0.57,73.57,87.88,91.5
2023,73053,0.57,0.77,0.01,60.96,75.16,82.71
2009,214973,0.96,0.91,0.18,5.0,20.08,45.33
2024,32001,0.35,0.89,0.14,73.69,87.67,86.87
2015,236969,0.93,0.33,0.08,12.39,23.31,42.88
2004,182071,0.15,0.78,0.1,6.65,35.86,65.76
2015,47853,0.07,0.83,0.78,45.2,67.25,78.05
2022,50058,0.3,0.23,0.89,76.99,74.82,91.77
2002,208660,0.1,0.9,0.25,5.0,23.42,54.83
2020,71597,0.49,0.49,0.77,52.94,67.43,76.69
2004,209243,0.21,0.73,0.31,5.0,23.11,59.07
2018,88198,0.96,0.86,0.68,29.4,53.2,70.8
2016,84472,0.32,0.62,0.19,53.83,79.4,77.32
2003,99366,0.09,0.83,0.11,23.78,64.42,84.58
2008,190964,0.25,0.46,0.68,13.09,24.97,62.92
2007,227702,0.2,0.31,0.93,12.85,13.84,54.0
2013,176603,0.26,0.99,0.17,23.98,42.11,65.25
2024,73944,0.74,0.85,0.15,53.3,76.35,68.86
2000,75702,0.61,0.53,0.58,5.0,63.91,74.83
2016,237385,0.08,0.66,0.94,21.15,13.71,45.25
2014,195600,0.84,0.48,0.77,17.21,25.34,53.65
2024,189605,0.01,0.61,0.08,61.78,32.0,56.84
2008,84929,0.1,0.95,0.53,35.79,68.42,81.27
2012,233848,0.94,0.72,0.78,5.0,7.0,42.81
2007,171061,0.04,0.89,0.11,10.86,42.07,72.35
2013,214157,0.13,0.39,0.7,21.94,24.43,58.25
2018,156604,0.33,0.32,0.1,49.45,43.87,68.98
2018,165877,0.74,0.68,0.68,32.17,31.1,64.87
2002,111216,0.67,0.75,0.36,5.0,54.08,78.48
2021,209655,0.39,0.77,0.17,37.57,30.1,52.01
2014,157555,0.57,0.38,0.05,23.95,50.08,60.37
2024,241821,0.77,0.8,0.88,29.24,23.57,46.6
2013,241390,0.66,0.57,0.21,7.11,14.0,48.4
2011,246451,0.08,0.95,0.17,16.84,19.57,53.17
2011,31318,0.88,0.85,0.85,11.82,87.02,76.46
2007,242873,0.97,0.56,0.42,5.0,19.3,45.46
2009,77916,0.68,0.08,0.04,32.89,71.44,63.2
2005,184503,0.85,0.01,0.12,5.79,39.84,48.59
2024,27943,0.55,0.74,0.3,74.0,89.08,83.86
2022,137051,0.52,0.24,0.03,56.03,54.37,64.12
2000,82751,0.09,0.11,0.21,12.65,69.48,79.54
2022,219365,0.39,0.95,0.98,35.33,16.6,55.87
2001,101687,0.15,0.2,0.36,10.58,65.24,76.45
2021,99760,0.47,0.17,0.14,59.44,64.09,77.77
2006,125826,0.95,0.74,0.21,5.0,52.68,63.62
2022,31613,0.22,0.51,0.71,73.1,85.72,89.83
2024,54639,0.84,0.37,0.19,57.6,78.74,76.53
2001,112365,0.75,0.21,0.31,5.0,56.65,73.12
2020,124272,0.15,0.62,0.76,42.22,48.61,80.4
2013,50557,0.01,0.71,0.55,38.82,74.88,87.05
2005,73475,0.91,0.92,0.8,5.0,69.03,75.07
2020,119322,0.9,0.37,0.69,43.6,48.86,63.06
2005,6803,0.32,0.79,0.41,31.87,84.77,97.43
2020,181355,0.07,0.47,0.1,45.31,38.39,68.37
2012,62819,0.91,0.17,0.61,41.79,70.3,83.61
2017,49166,0.06,0.12,0.4,75.17,74.58,90.07
2007,526,0.67,0.32,0.96,37.67,82.78,97.63
2005,40382,0.6,0.62,0.34,29.21,82.36,84.33
2005,92508,0.47,0.43,0.3,15.35,65.78,70.14
2020,228628,0.14,0.9,0.36,36.57,20.38,46.49
2023,112698,0.44,0.77,0.44,56.8,56.29,62.36
2009,175343,0.38,0.38,0.95,20.58,29.35,59.07
2011,12384,0.84,0.91,0.6,40.64,95.31,87.39
2016,244388,0.42,0.76,0.95,21.67,17.21,43.11
2011,156510,0.97,0.07,0.95,8.6,31.95,60.04
2013,173318,0.64,0.75,0.43,7.95,37.44,67.96
2013,86056,0.18,0.55,0.86,51.74,55.77,76.75
2023,235287,0.12,0.1,0.98,54.9,14.23,52.42
2006,179768,0.21,0.99,0.34,5.0,17.91,62.96
2002,81463,0.57,0.48,0.21,14.7,71.29,75.54
2022,5230,0.59,0.1,0.57,76.77,83.78,90.74
2003,166182,0.68,0.8,0.66,5.0,34.14,61.62
2019,14743,0.14,0.47,0.17,83.38,98.46,100.0
2012,216005,0.7,0.66,0.42,5.0,24.83,52.68
2019,6069,0.61,0.87,0.43,63.06,90.26,81.15
2005,26660,0.58,0.93,0.57,22.95,82.41,86.14
2007,58836,0.77,0.55,0.63,25.57,72.22,67.93
2008,11646,0.81,0.45,0.59,27.47,96.53,84.42
2000,29098,0.4,0.85,0.05,5.0,82.28,98.98
2011,44879,0.97,0.93,0.42,24.74,85.93,82.67
2008,228354,0.2,0.21,0.07,9.76,22.36,45.25
2024,105968,0.94,0.21,0.13,71.29,58.45,71.14
2014,220722,0.09,0.16,0.11,40.48,29.19,50.39
2021,174233,0.66,0.84,0.98,42.92,29.39,62.38
2009,168197,0.52,0.2,0.9,17.21,33.09,61.78
2000,163814,0.57,0.32,0.93,5.0,41.08,66.8
2011,47844,0.97,0.71,0.19,27.17,80.08,79.29
2024,143196,0.34,0.25,0.28,61.9,55.72,66.84
2010,7661,0.7,0.86,0.43,27.11,84.7,89.47
2024,190635,0.41,0.66,0.3,48.79,34.65,49.74
2019,39119,0.8,0.45,0.76,58.24,75.28,82.74
2024,100573,0.52,0.65,0.79,64.68,57.92,71.92
2005,247399,0.05,0.22,0.63,7.58,15.32,63.2
2007,71022,0.11,0.33,0.55,34.8,71.62,90.42
2022,204196,0.87,0.98,0.2,26.56,30.84,44.32
2014,154748,0.23,0.89,0.67,31.5,40.76,64.0
2003,166152,0.61,0.73,0.32,5.0,39.97,66.45
2000,246364,0.88,0.44,0.4,5.0,11.83,45.07
2015,199254,0.73,0.09,0.33,24.55,25.7,50.67
2012,42785,0.35,0.98,0.48,44.58,75.85,93.59
2010,142184,0.44,0.67,0.58,10.56,45.19,65.99
2009,23964,0.01,0.92,0.44,48.96,75.67,95.35
2002,101531,0.2,0.14,0.21,21.9,72.34,77.14
2015,175284,0.04,0.62,0.74,43.54,41.28,64.0
2024,38774,1.0,0.48,0.13,75.75,75.04,87.17
2004,139124,0.82,0.84,0.59,5.0,42.85,62.66
2015,243667,0.26,0.91,0.28,13.76,8.88,46.42
2020,141102,0.05,0.85,0.98,50.94,39.51,62.41
2010,159882,0.3,0.05,0.38,22.31,41.82,63.01
2023,112054,0.28,0.05,0.77,69.38,49.36,81.43
2007,61275,0.77,0.54,0.21,20.63,74.68,82.36
2018,215021,0.41,0.97,0.36,17.39,28.96,48.53
2006,112548,0.84,0.89,0.95,5.0,51.62,75.25
2020,64648,0.78,0.57,0.05,53.1,75.7,85.01
2006,158618,0.19,0.52,0.39,17.05,46.4,67.21
2018,97641,0.64,0.43,0.31,40.45,70.0,66.59
2020,63781,0.39,0.04,0.68,69.51,77.42,76.15
2023,138514,0.61,0.19,0.37,57.73,48.86,64.28
2023,7249,0.71,0.32,0.81,78.75,87.04,80.63
2011,53719,0.18,0.48,0.61,47.86,65.84,90.71
2007,15577,0.19,0.24,0.88,38.63,82.6,93.98
2021,1308,0.68,0.29,0.19,78.04,96.22,95.48
2001,8274,0.66,0.69,0.72,21.67,91.45,94.46
2005,146915,0.68,0.96,0.44,5.0,41.32,69.24
2006,27104,0.26,0.89,0.07,29.26,89.67,91.5
2021,208383,0.38,0.23,1.0,9.44,16.73,48.18
2010,34949,0.06,0.43,0.94,39.8,76.06,90.48
2023,151310,0.45,0.62,0.31,52.05,47.51,63.98
2010,25793,0.23,0.52,0.44,56.97,96.27,94.16
2014,20720,0.41,0.23,0.34,55.43,95.78,89.55
2002,124995,0.97,0.85,0.89,5.0,48.35,57.92
2019,210935,0.08,0.81,0.48,30.9,15.5,66.81
2016,159323,0.35,0.77,0.69,28.22,38.88,61.27
2024,243751,1.0,0.65,0.94,37.38,13.59,42.16
2022,113828,0.12,0.91,0.5,58.84,52.65,81.81
2013,73697,0.65,0.79,0.43,30.76,69.68,77.57
2015,135503,0.42,0.75,0.05,30.3,55.01,69.4
2002,113411,0.35,0.06,0.37,7.71,45.74,68.58
2009,187610,0.69,0.34,0.29,5.56,33.8,54.57
2013,30729,0.77,0.63,0.89,32.55,80.15,84.63
2003,39809,0.83,0.56,0.15,10.47,74.98,85.17
2007,6837,0.0,0.22,0.82,43.57,87.71,100.0
2006,249703,0.56,0.25,0.6,5.0,22.48,42.58
2018,176738,0.15,0.34,0.73,32.47,32.47,63.26
2001,231413,0.16,0.62,0.37,5.0,14.66,58.89
2014,71209,0.23,0.82,0.04,52.1,68.5,84.54
2014,213236,0.07,0.36,0.19,28.79,23.3,59.32
2022,12393,0.59,0.34,0.92,70.5,90.49,96.73
2000,198750,0.46,0.22,0.46,5.0,28.79,56.58
2007,12139,0.97,0.45,0.51,28.33,100.0,89.26
2018,31959,0.55,0.31,0.87,57.13,76.91,88.44
2023,49955,0.38,0.8,0.17,68.16,86.84,81.48
2004,50489,0.62,0.47,0.12,15.85,79.39,89.47
2006,104453,0.07,0.1,0.81,27.89,60.26,72.4
2023,150759,0.07,0.77,0.23,55.91,47.1,65.64
2017,29488,0.3,0.61,0.04,58.19,92.99,82.53
2009,14274,0.9,0.8,0.74,22.93,87.52,87.24
2005,241303,0.82,0.31,0.29,5.0,22.29,47.2
2001,65364,0.41,0.4,0.79,15.97,63.38,78.76
2006,31932,0.66,0.24,0.83,32.73,79.51,82.01
2020,231526,0.05,0.56,0.27,44.49,15.78,54.64
2023,55713,0.32,0.4,0.12,69.89,74.96,84.53
2022,78365,0.85,0.95,0.75,44.89,63.51,65.51
2015,163804,0.66,0.57,0.31,21.11,34.64,62.13
2006,68385,0.52,0.03,0.68,25.94,72.3,75.36
2009,52713,0.97,0.51,0.54,22.91,80.55,78.97
2013,230628,0.67,0.07,0.46,12.26,15.49,38.17
2006,228605,0.6,0.1,0.38,5.0,5.06,44.93
2010,68937,0.83,0.98,0.98,28.38,67.98,76.62
2024,172415,0.32,0.72,0.82,53.75,30.08,61.26
2004,244663,0.84,0.02,0.06,5.0,18.58,42.99
2010,241875,0.32,0.32,0.66,14.82,14.71,38.97
2002,213891,0.64,0.85,0.89,5.0,15.91,60.33
2019,63443,0.34,0.52,0.11,53.31,75.93,84.92
2016,97661,0.88,0.3,0.03,35.94,66.7,76.13
2014,78049,0.68,0.43,0.74,39.61,71.17,71.44
2001,77960,0.87,0.27,0.59,5.0,68.18,76.95
2010,64817,0.58,0.37,0.67,38.74,73.65,77.68
2013,227127,0.2,0.14,0.71,19.65,15.18,54.62
2018,215025,0.27,0.47,0.28,36.56,26.32,51.31
2003,27288,0.66,0.12,0.48,10.3,85.97,90.57
2011,158305,0.36,0.12,0.21,19.6,46.77,59.96
2013,244344,0.64,0.32,0.34,5.58,19.18,49.35
2001,132775,0.11,0.34,0.84,15.39,44.05,78.75
2014,37120,0.66,0.72,0.42,30.94,81.01,88.12
2005,93718,0.46,0.75,0.69,13.91,64.18,79.15
2003,55241,0.46,0.89,0.03,19.05,81.14,81.3
2023,75416,0.48,0.57,0.5,58.43,60.31,81.76
2018,241232,0.24,0.46,0.96,30.83,11.37,49.95
2011,24580,0.94,0.44,0.46,28.27,91.72,77.2
2000,153632,0.41,0.43,0.88,5.0,39.13,64.6
2001,15454,0.22,0.4,0.05,22.49,97.27,100.0
2020,205796,0.78,0.12,0.61,34.13,26.82,45.77
2018,144913,0.37,0.96,0.97,35.65,44.07,63.94
2010,85018,0.84,0.62,0.72,20.33,65.99,73.48
2000,164449,0.69,0.1,0.73,5.0,41.27,68.87
2005,62188,0.54,0.55,0.6,20.18,68.58,79.29
2019,58223,0.83,0.87,0.31,53.65,80.34,74.2
2015,74135,0.87,0.33,0.44,53.62,70.24,72.05
2014,244589,0.16,0.7,0.62,18.89,13.53,44.87
2021,5263,0.01,0.36,0.57,85.61,95.31,100.0
2023,9126,0.41,0.01,0.86,87.76,85.76,95.05
2021,199861,0.55,0.33,0.1,39.26,44.61,55.88
2009,186843,0.49,0.13,0.26,19.64,34.92,64.86
2002,12999,0.05,0.62,0.59,26.84,90.18,86.49
2016,50431,0.53,0.09,0.56,51.36,77.98,88.38
2004,37509,0.56,0.6,0.41,20.89,85.95,80.43
2002,156309,0.66,0.44,0.42,5.0,45.41,64.51
2024,229683,0.82,0.09,0.43,34.73,12.2,51.24
2000,77960,0.33,0.78,0.15,5.0,72.52,89.91
2012,202265,0.34,0.09,0.0,22.22,39.33,51.81
2020,154623,0.71,0.4,0.7,44.91,38.68,65.61
2004,167777,0.56,0.28,0.17,5.53,38.63,70.73
2007,206444,0.16,0.44,0.21,12.41,20.2,59.06
2015,181509,0.53,0.41,0.07,26.98,42.12,56.35
2000,195013,0.18,0.83,0.49,5.0,26.63,63.71
2008,159480,0.28,0.53,0.43,18.06,34.72,68.4
2016,208655,0.69,0.26,0.19,19.03,27.92,46.68
2005,96038,0.23,0.94,0.28,14.32,63.03,88.18
2014,200000,0.38,0.77,0.69,18.23,36.55,45.3
2024,111306,0.03,0.33,0.26,77.04,55.22,76.1
2023,236158,0.87,0.84,0.72,7.59,11.84,40.29
2000,47167,0.77,0.21,0.45,12.92,76.24,83.24
2004,119069,0.98,0.59,0.66,5.0,58.96,71.4
2019,212242,0.81,0.43,0.28,30.07,22.41,44.63
2001,183784,0.67,0.55,0.37,5.0,34.43,56.14
2005,11838,0.02,0.17,0.9,48.13,83.38,98.27
2002,226456,0.82,0.36,0.24,5.0,21.26,49.47
2012,20574,0.36,0.35,0.05,50.2,98.79,93.02
2010,248077,0.47,0.03,0.24,5.0,9.21,49.33
2001,190964,0.32,0.45,0.93,5.0,17.82,60.41
2008,1885,0.37,0.53,0.58,40.12,92.19,93.86
2002,105384,0.22,0.74,0.54,13.9,58.28,76.38
2019,35974,0.19,0.09,0.87,72.68,77.68,93.49
2023,243057,0.76,0.03,0.06,36.81,29.11,42.61
2005,127843,0.88,0.99,0.31,5.0,56.15,74.42
2005,229972,0.57,0.69,0.04,5.0,24.78,52.57
2012,115941,0.65,0.57,0.5,24.28,49.99,57.26
2004,187344,0.96,0.59,0.41,5.0,32.91,56.57
2003,37556,0.65,0.8,0.5,7.03,79.41,89.21
2003,153303,0.26,0.15,0.15,7.33,38.88,57.52
2016,201806,0.58,0.1,0.58,28.14,21.2,42.99
2016,46803,0.93,0.33,0.31,43.31,67.41,83.88
2016,21574,0.88,0.16,0.43,59.27,90.47,89.51
2016,218877,0.59,0.93,0.77,27.25,15.08,52.73
2001,62044,0.29,0.52,0.69,10.62,62.52,92.36
2004,239189,0.22,0.53,0.39,5.0,18.54,46.9
2007,183015,0.91,0.64,0.38,5.0,27.28,56.9
